,wp0,wp1
x,1.00,1.00
y,0.00,0.00
z,1.00,0.30
vx,0.00,0.00
vy,0.00,0.00
vz,0.00,0.00
q1,1.00,1.00
q2,0.00,0.00
q3,0.00,0.00
q4,0.00,0.00
wx,0.00,0.00
wy,0.00,0.00
wz,0.00,0.00
