34 0 0.010000 238.8044, 136.8703, 260.6459, 137.7248, 260.1181, 151.2167, 238.2765, 150.3622
34 1 0.040000 238.7812, 137.3963, 260.6239, 138.2506, 260.0969, 151.7272, 238.2541, 150.8729
34 2 0.070000 238.7295, 138.5667, 260.5751, 139.4203, 260.0498, 152.8629, 238.2042, 152.0093
34 3 0.110000 238.8463, 140.3108, 260.8795, 142.1436, 259.7399, 155.8430, 237.7068, 154.0102
34 4 0.140000 239.0171, 141.6309, 261.1805, 144.3359, 259.4898, 158.1887, 237.3264, 155.4836
34 5 0.170000 239.2300, 142.8737, 261.4536, 146.1839, 259.3873, 160.0562, 237.1638, 156.7461
34 6 0.200000 239.5673, 143.8313, 261.8126, 147.6562, 259.4358, 161.4798, 237.1905, 157.6550
34 7 0.240000 240.1935, 144.7647, 262.4073, 148.9767, 259.8198, 162.6235, 237.6060, 158.4116
34 8 0.270000 240.7903, 145.2665, 262.9484, 149.5287, 260.3626, 162.9713, 238.2046, 158.7091
34 9 0.310000 241.7797, 145.6970, 263.8418, 149.8497, 261.3838, 162.9079, 239.3217, 158.7552
34 10 0.340000 242.7635, 145.6676, 264.7314, 149.9273, 262.2498, 162.7255, 240.2819, 158.4659
34 11 0.370000 243.7565, 145.7320, 265.6202, 149.6952, 263.3722, 162.0965, 241.5085, 158.1333
34 12 0.400000 244.9647, 145.4716, 266.7127, 149.4196, 264.5275, 161.4573, 242.7794, 157.5093
34 13 0.440000 246.6971, 144.9687, 268.3186, 148.7640, 266.2956, 160.2889, 244.6741, 156.4936
34 14 0.470000 248.0484, 144.5517, 269.6084, 148.0674, 267.8010, 159.1517, 246.2409, 155.6360
34 15 0.500000 249.6680, 143.7174, 271.1015, 147.4390, 269.2269, 158.2351, 247.7934, 154.5135
34 16 0.540000 251.8399, 142.7406, 273.1494, 146.4300, 271.3565, 156.7852, 250.0471, 153.0958
34 17 0.570000 253.4971, 142.1190, 274.7319, 145.6012, 273.0910, 155.6073, 251.8562, 152.1251
34 18 0.610000 255.9043, 141.0953, 277.0163, 144.5503, 275.4293, 154.2479, 254.3173, 150.7929
34 19 0.640000 257.8490, 140.1799, 278.8518, 143.7666, 277.2163, 153.3438, 256.2135, 149.7571
34 20 0.670000 259.7500, 139.4551, 280.6974, 142.8102, 279.1702, 152.3451, 258.2228, 148.9900
34 21 0.700000 261.8573, 138.3748, 282.7039, 141.8622, 281.1092, 151.3949, 260.2625, 147.9075
34 22 0.740000 264.7280, 136.8950, 285.4795, 140.3352, 283.8960, 149.8870, 263.1445, 146.4468
34 23 0.770000 266.9115, 135.7699, 287.6279, 138.9494, 286.1565, 148.5363, 265.4401, 145.3568
34 24 0.800000 269.3276, 134.1763, 289.9564, 137.4963, 288.4122, 147.0913, 267.7833, 143.7713
34 25 0.840000 272.6045, 131.9469, 293.1625, 135.1706, 291.6133, 145.0502, 271.0553, 141.8266
34 26 0.870000 275.0942, 130.1960, 295.6306, 133.0989, 294.2046, 143.1873, 273.6682, 140.2844
34 27 0.900000 277.8261, 127.9450, 298.2957, 130.9658, 296.7487, 141.4484, 276.2791, 138.4276
34 28 0.940000 281.4879, 124.8898, 301.9089, 127.6999, 300.4011, 138.6569, 279.9801, 135.8468
34 29 0.970000 284.2120, 122.6151, 304.6009, 124.8528, 303.3522, 136.2301, 282.9633, 133.9923
34 30 1.000000 287.1858, 119.9696, 307.5179, 122.2590, 306.1935, 134.0205, 285.8614, 131.7310
34 31 1.040000 291.1193, 116.6861, 311.4828, 118.7212, 310.2602, 130.9539, 289.8968, 128.9188
34 32 1.070000 293.9792, 114.5788, 314.4529, 115.9113, 313.6286, 128.5758, 293.1550, 127.2433
34 33 1.110000 297.9960, 111.6842, 318.5713, 112.7197, 317.9074, 125.9128, 297.3321, 124.8774
34 34 1.140000 301.0353, 109.6896, 321.6894, 110.5024, 321.1556, 124.0669, 300.5015, 123.2541
34 35 1.170000 303.9055, 107.8789, 324.7796, 108.3578, 324.4600, 122.2896, 303.5858, 121.8107
34 36 1.210000 307.7040, 105.6362, 328.9266, 105.6878, 328.8915, 120.1127, 307.6689, 120.0611
