12 0 0.010000 153.0229, 317.2623, 178.5397, 318.1238, 178.1475, 329.7395, 152.6308, 328.8779
12 1 0.040000 153.0408, 317.7489, 178.5527, 318.8113, 178.0728, 330.3375, 152.5609, 329.2751
12 2 0.070000 153.1387, 318.5512, 178.6236, 320.2396, 177.8797, 331.4690, 152.3948, 329.7806
12 3 0.110000 153.2905, 319.5883, 178.7251, 321.9629, 177.7042, 332.8978, 152.2696, 330.5232
12 4 0.140000 153.4676, 320.0770, 178.8620, 322.8289, 177.6928, 333.6188, 152.2983, 330.8670
12 5 0.170000 153.7530, 320.2031, 179.0987, 323.3059, 177.7946, 333.9587, 152.4489, 330.8559
12 6 0.200000 154.1332, 319.9749, 179.4408, 323.2684, 178.0628, 333.8570, 152.7552, 330.5635
12 7 0.240000 154.8520, 319.0670, 180.1043, 322.5524, 178.6536, 333.0626, 153.4014, 329.5772
12 8 0.270000 155.5732, 317.9179, 180.7726, 321.5583, 179.2666, 331.9833, 154.0671, 328.3429
12 9 0.310000 156.7380, 315.8064, 181.8815, 319.4824, 180.3668, 329.8426, 155.2233, 326.1665
12 10 0.340000 157.7448, 313.8056, 182.8698, 317.2964, 181.4281, 327.6734, 156.3030, 324.1826
12 11 0.370000 158.9865, 311.2981, 184.0409, 314.9189, 182.5639, 325.1391, 157.5095, 321.5183
12 12 0.400000 160.2342, 308.5292, 185.3133, 311.7281, 184.0017, 322.0113, 158.9226, 318.8124
12 13 0.440000 162.1844, 304.1483, 187.2343, 307.0113, 186.0661, 317.2325, 161.0162, 314.3695
12 14 0.470000 163.8960, 300.3140, 188.8587, 303.3533, 187.6404, 313.3598, 162.6777, 310.3205
12 15 0.500000 165.4952, 296.5613, 190.4715, 298.9613, 189.5092, 308.9765, 164.5329, 306.5765
12 16 0.540000 167.7775, 291.4991, 192.6882, 293.2531, 191.9918, 303.1436, 167.0811, 301.3896
12 17 0.570000 169.6961, 287.4876, 194.4696, 289.4780, 193.6743, 299.3771, 168.9008, 297.3867
12 18 0.610000 172.1552, 282.6570, 196.7855, 284.5174, 196.0357, 294.4455, 171.4053, 292.5852
12 19 0.640000 173.9337, 279.4239, 198.4809, 280.9127, 197.8797, 290.8250, 173.3325, 289.3361
12 20 0.670000 175.8157, 276.1146, 200.2406, 277.6330, 199.6200, 287.6162, 175.1951, 286.0978
12 21 0.700000 177.6060, 273.1582, 201.9338, 274.3307, 201.4517, 284.3332, 177.1239, 283.1607
12 22 0.740000 180.0170, 269.2843, 204.2054, 270.1173, 203.8586, 280.1877, 179.6703, 279.3548
12 23 0.770000 181.9313, 266.1652, 205.9769, 267.2046, 205.5353, 277.4215, 181.4897, 276.3821
12 24 0.800000 183.6318, 263.5321, 207.5916, 263.9622, 207.4074, 274.2211, 183.4476, 273.7910
12 25 0.840000 186.0185, 259.6172, 209.8391, 259.9000, 209.7156, 270.3043, 185.8950, 270.0215
12 26 0.870000 187.7860, 256.5623, 211.5368, 256.8574, 211.4061, 267.3821, 187.6553, 267.0871
12 27 0.900000 189.3977, 253.7506, 213.0896, 253.5314, 213.1874, 264.0994, 189.4954, 264.3186
12 28 0.940000 191.5758, 249.6391, 215.1850, 249.1648, 215.4003, 259.8858, 191.7912, 260.3600
12 29 0.970000 193.2659, 246.2628, 216.7907, 246.0524, 216.8881, 256.9364, 193.3633, 257.1468
