,G1
x,0.000
y,0.000
z,0.800
q1,0.985
q2,0.174
q3,0.000
q4,0.000
p_1x,0.000
p_1y,-0.100
p_1z,-0.100
p_2x,0.000
p_2y,-0.100
p_2z,0.100
p_3x,0.000
p_3y,0.100
p_3z,0.100
p_4x,0.000
p_4y,0.100
p_4z,-0.100
