timestamp,timestamp_sample,xyz[0],xyz[1],xyz[2]
708441422,708441108,-0.0058333008,0.0027449192,0.00035765916
708443933,708443622,0.0029937844,-0.0064993543,0.000586686
708447763,708447432,0.012515403,-0.013317189,-0.0008041673
708451559,708451239,0.0038083862,-0.0006979519,-0.0032284686
708454102,708453795,-0.0068051065,0.008940269,-0.0028925221
708458109,708457787,-0.011821576,0.013318968,0.0004238771
708461956,708461582,0.00019862596,-0.0010201132,0.0006928632
708466862,708466561,0.01454203,-0.012252715,0.0031799376
708469371,708469040,0.009146451,-0.005606052,-0.0019725037
708473190,708472842,-0.0116239,0.009642581,-0.0040632836
708478193,708477889,-0.008477923,0.010245986,0.00015992997
708479456,708479156,-0.0035361832,0.004330656,0.0010123583
708483271,708482961,0.012325132,-0.012155158,0.0048121675
708487083,708486769,0.01290843,-0.012427025,0.0010749626
708489672,708489361,0.0005487866,-0.0015340422,-0.004628842
708493465,708493123,-0.014997521,0.011711622,-0.005240373
708499763,708499459,0.0036737665,-0.0007339795,0.0042297607
708503570,708503272,0.015075108,-0.00983958,0.0076178415
708507377,708507073,0.0077068573,-0.0026108695,-0.0037627432
708511199,708510884,-0.01012163,0.008850749,-0.010131782
708514989,708514686,-0.014209841,0.0076003075,-0.0010082202
708518802,708518497,0.0025823608,-0.005757552,0.009929829
708521441,708521046,0.01140983,-0.008866826,0.009460253
708525145,708524839,0.009726102,-0.0038911926,0.00210244
708528961,708528648,-0.0045583253,0.0037057856,-0.009406386
708531566,708531198,-0.0106627,0.0024662176,-0.008116169
708535369,708535002,-0.0058513936,-0.0030744488,0.0042697233
708539320,708539013,0.005734625,-0.0049723587,0.009308719
708541901,708541594,0.007336477,-0.0021666144,0.006347166
708545568,708545268,0.0021834124,0.0064637675,-0.0050505497
708549339,708549011,-0.002762839,0.0039706337,-0.01036705
708553147,708552797,-0.003912462,-0.0050491337,-0.0008960319
708559408,708559103,0.00339034,0.0012493859,0.007593344
708563255,708562914,0.0015135326,0.010519465,-0.00038749157
708569554,708569254,-0.0025914803,-0.0047149337,-0.005699404
708570824,708570524,-0.0018048884,-0.009494021,-0.003590607
708573435,708573068,-0.0023187299,-0.012231723,0.0025241661
708579705,708579405,-0.00043523207,0.006571855,0.0030687093
708580980,708580676,-0.00021585161,0.009347722,0.00041011669
708584797,708584483,0.0037385244,0.005928948,-0.0044455403
708588587,708588289,0.0032281978,-0.0058173076,-0.0046688244
708591148,708590825,0.0002418193,-0.009286876,-0.00031418796
708594982,708594638,-0.0051552695,0.00021281088,0.0077797105
708600041,708599710,-0.0050609238,0.011240072,0.00069803145
708601321,708600982,-0.0034654178,0.011112357,-0.0011850003
708605082,708604784,0.009040962,-0.0016641188,-0.0035268532
708608897,708608595,0.0038870454,-0.010924012,-0.0048577213
708612720,708612406,-0.005777685,-0.007249397,0.0007027785
708616538,708616209,-0.007522325,0.0057692314,0.001944127
708619256,708618951,-0.0038367794,0.008422879,0.00074132223
708624297,708623985,0.009096292,-0.0013252756,0.0021158706
708626841,708626521,0.00797758,-0.006945306,-0.00017469433
708629331,708629016,0.00088716135,-0.006574876,-0.0008844205
708635538,708635237,-0.008931007,0.005284738,0.00038522496
708636871,708636518,-0.006778388,0.005875587,-0.0014428301
708640620,708640316,0.008899742,0.0022149568,0.00068882323
708644434,708644124,0.010092308,-0.0028318893,-0.0010481043
708672356,708672044,-0.0068669044,-0.0026975248,-0.0018481445
708676154,708675849,0.004076481,-0.0063700113,-0.002364439
708678727,708678388,0.010496554,-0.0010525977,0.0008433556
708682555,708682204,0.005606678,0.008421342,0.0029809729
