timestamp,ref_timestamp,ref_lat,ref_lon,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,z_deriv,delta_vxy[0],delta_vxy[1],delta_vz,ax,ay,az,heading,delta_heading,ref_alt,dist_bottom,eph,epv,evh,evv,vxy_max,vz_max,hagl_min,hagl_max,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,heading_reset_counter,xy_global,z_global,dist_bottom_valid
709419477,0,0.0,0.0,-0.031869456,0.6004725,-0.102507755,-0.014725093,0.004103156,0.59175354,0.0010536384,-0.0076649007,-0.16612191,-0.14545168,0.12236832,0.09785107,-0.058551528,0.18189432,-0.115457244,-0.18720959,1.5722369,-0.6516362,0.0,0.14618763,0.032521233,0.016234761,0.058033086,0.03072489,inf,inf,inf,inf,1,1,1,1,4,1,2,1,4,0,0,1
709521240,0,0.0,0.0,-0.03192002,0.600291,-0.11011812,-0.014725093,0.004103156,0.59175354,0.00070598937,-0.006844855,-0.17392148,-0.14713143,0.12236832,0.09785107,-0.058551528,-0.013632271,-0.024769947,-0.13862461,1.5722916,-0.6516362,0.0,0.1511292,0.032504845,0.016234782,0.05786588,0.030723339,inf,inf,inf,inf,1,1,1,1,4,1,2,1,4,0,0,1
709622513,0,0.0,0.0,-0.03192787,0.60021836,-0.11700842,-0.014725093,0.004103156,0.59175354,0.0010593772,-0.0063456814,-0.18117765,-0.14780767,0.12236832,0.09785107,-0.058551528,-0.027643554,0.050643228,-0.18640456,1.5722581,-0.6516362,0.0,0.15498953,0.03253469,0.01623479,0.057914928,0.03072373,inf,inf,inf,inf,1,1,1,1,4,1,2,1,4,0,0,1
709724044,0,0.0,0.0,-0.03190987,0.6001974,-0.12321825,-0.014725093,0.004103156,0.59175354,0.000829518,-0.0064887954,-0.18795824,-0.14763074,0.12236832,0.09785107,-0.058551528,0.044120286,0.0057341317,-0.10218313,1.5722477,-0.6516362,0.0,0.15851456,0.032599483,0.016234813,0.05800958,0.030724049,inf,inf,inf,inf,1,1,1,1,4,1,2,1,4,0,0,1
709825557,0,0.0,0.0,-0.03193458,0.6003158,-0.1270438,-0.014725093,0.004103156,0.59175354,0.00036405463,-0.006123225,-0.19115388,-0.14286368,0.12236832,0.09785107,-0.058551528,-0.03466799,-0.05339486,-0.13670495,1.5722847,-0.6516362,0.0,0.15972304,0.03222389,0.016234854,0.057632554,0.030724358,inf,inf,inf,inf,1,1,1,1,4,1,2,1,4,0,0,1
709927084,0,0.0,0.0,-0.031946324,0.6004591,-0.131377,-0.014725093,0.004103156,0.59175354,0.0007581752,-0.005004074,-0.19464208,-0.13895328,0.12236832,0.09785107,-0.058551528,-0.010643119,0.035540957,-0.1488623,1.5722892,-0.6516362,0.0,0.16262373,0.03226077,0.016234875,0.05755103,0.030722374,inf,inf,inf,inf,1,1,1,1,4,1,2,1,4,0,0,1
710023641,0,0.0,0.0,-0.031921215,0.60067385,-0.13422704,-0.014725093,0.004103156,0.59175354,0.0011737508,-0.0044984976,-0.19604914,-0.13298212,0.12236832,0.09785107,-0.058551528,-0.014266886,0.10448206,0.030400457,1.5723182,-0.6516362,0.0,0.16414598,0.033062685,0.0162347,0.058212105,0.030720664,inf,inf,inf,inf,1,1,1,1,4,1,2,1,4,0,0,1
710125032,0,0.0,0.0,-0.031869166,0.600918,-0.13725373,-0.014725093,0.004103156,0.59175354,0.0012574295,-0.004426818,-0.19911304,-0.1287945,0.12236832,0.09785107,-0.058551528,-0.0645735,0.0036491705,-0.20971401,1.5722871,-0.6516362,0.0,0.16616827,0.032980558,0.01623454,0.057988495,0.030719096,inf,inf,inf,inf,1,1,1,1,4,1,2,1,4,0,0,1
710216398,0,0.0,0.0,-0.0318397,0.60113454,-0.13957359,-0.014725093,0.004103156,0.59175354,0.0009979724,-0.004348824,-0.20149417,-0.12481871,0.12236832,0.09785107,-0.058551528,0.023201851,0.0018397942,-0.122263476,1.5723132,-0.6516362,0.0,0.16711572,0.032473136,0.016234355,0.057478793,0.030719033,inf,inf,inf,inf,1,1,1,1,4,1,2,1,4,0,0,1
710317932,0,0.0,0.0,-0.031779755,0.6014164,-0.14164239,-0.014725093,0.004103156,0.59175354,0.0017509223,-0.0030405612,-0.20391786,-0.12043419,0.12236832,0.09785107,-0.058551528,0.08537469,-0.07150515,-0.32009417,1.5723171,-0.6516362,0.0,0.16798267,0.032418966,0.016234202,0.05745808,0.030719085,inf,inf,inf,inf,1,1,1,1,4,1,2,1,4,0,0,1
