timestamp,timestamp_sample,hover_thrust,hover_thrust_var,accel_innov,accel_innov_var,accel_innov_test_ratio,accel_noise_var,valid
724379586,724377606,0.28938425,3.322914e-06,1.365082,1.0042875,0.20616595,1.0178155,0
724481122,724479111,0.2900792,3.2782195e-06,0.36115253,1.0470785,0.013840749,1.0379139,0
724574405,724570471,0.29045898,3.2327184e-06,-0.59845567,1.0402155,0.038255878,1.030836,0
724776506,724773474,0.29104373,3.1470713e-06,0.3415085,1.0058119,0.012883794,1.0,0
724883163,724880058,0.29143366,3.1087181e-06,-0.12589914,1.0460509,0.0016836436,1.0324262,0
725075532,725073143,0.29162288,3.032125e-06,0.10965884,1.0041755,0.0013305622,1.0,0
725177766,725174417,0.2916293,2.9942398e-06,1.5142415,1.0040615,0.25373915,1.025685,0
725278165,725275916,0.29144946,2.9639748e-06,-1.449077,1.0497892,0.22224823,1.0480791,0
725379505,725377422,0.2916599,2.9323953e-06,0.13950467,1.0194716,0.0021210935,1.0074642,0
725481254,725478956,0.2918042,2.8999295e-06,-0.4481399,1.0040456,0.022224464,1.0,0
725583477,725580429,0.29221752,2.8683842e-06,-1.3572556,1.0039189,0.20388353,1.0,0
725673779,725671788,0.2922342,2.8380387e-06,-0.1362314,1.0035226,0.0020548715,1.0,0
725781479,725778372,0.29245657,2.8120228e-06,-0.86974627,1.0037491,0.083737016,1.0,0
725881986,725879862,0.29253492,2.7871092e-06,-1.2745692,1.0035543,0.17986365,1.0,0
725973511,725971509,0.29247454,2.7610129e-06,0.6143544,1.0035342,0.04178912,1.0,0
726074802,726072716,0.29273573,2.7371325e-06,-0.9485124,1.0035766,0.09960771,1.0,0
726177519,726174227,0.29275075,2.7154824e-06,0.6430062,1.0152706,0.04524869,1.0108435,0
726278817,726275720,0.2927298,2.6953937e-06,1.2194908,1.0203744,0.1619403,1.0291228,0
726475677,726473711,0.29338712,2.6546843e-06,-1.6331117,1.0151149,0.2919269,1.0163748,0
726578287,726575151,0.29360992,2.6342864e-06,-0.7438289,1.0034041,0.06126715,1.0,0
726679690,726676699,0.29362577,2.617601e-06,-1.7163988,1.0051033,0.3256741,1.0110075,0
726780891,726778168,0.2936374,2.600571e-06,0.9242077,1.0313872,0.09201845,1.0327969,0
727074571,727072516,0.2941898,2.551378e-06,-2.1668522,1.0033562,0.51994926,1.0238266,0
727175896,727174017,0.2940211,2.5367103e-06,-0.75363815,1.0436354,0.060469232,1.0323939,0
727282825,727280830,0.29397935,2.5246063e-06,-0.6271897,1.0318273,0.042359255,1.0199609,0
727373936,727372029,0.29428673,2.5086836e-06,-0.8471144,1.0031573,0.07948269,1.0,0
727475385,727473436,0.2944493,2.4935548e-06,-0.07887524,1.0032958,0.0006889853,1.0,0
727578471,727574945,0.2945541,2.479879e-06,0.78077674,1.0030054,0.06753175,1.0010122,0
727674007,727671361,0.29445437,2.4669232e-06,-0.23113504,1.003119,0.005917478,1.0,0
727780756,727778023,0.29489103,2.4535263e-06,-2.3083017,1.0040008,0.5896694,1.0311277,0
727881512,727879443,0.2954436,2.4406747e-06,-1.266849,1.0367286,0.17200541,1.030834,0
728079379,728077371,0.29558975,2.416212e-06,-0.055900037,1.0080582,0.0003444261,1.0,0
728173486,728168710,0.29555756,2.4037577e-06,0.42851758,1.0028782,0.02034448,1.0,0
728283098,728280359,0.29566017,2.3963116e-06,-0.5230372,1.003004,0.030305399,1.0,0
728475570,728473208,0.29610682,2.372299e-06,1.0450507,1.0273749,0.118114516,1.0336243,0
728577124,728574707,0.2961106,2.364103e-06,-0.27305627,1.0148332,0.0081633255,1.0019034,0
728678434,728676319,0.2962019,2.355482e-06,-0.42932934,1.002929,0.020420598,1.0,0
728775824,728772631,0.29615176,2.3448554e-06,0.0051605105,1.0029818,2.9501884e-06,1.0,0
728977718,728975635,0.29622066,2.327666e-06,0.8256419,1.0029043,0.075523384,1.0011921,0
729079246,729077373,0.29630274,2.3204148e-06,-0.087147295,1.0027844,0.000841507,1.0,0
729180626,729178623,0.29653278,2.3123343e-06,-0.918716,1.0029439,0.09350685,1.0,0
729282073,729280123,0.296658,2.3042153e-06,-0.41052607,1.0028857,0.018671857,1.0,0
729582233,729579613,0.29703578,2.2825554e-06,-0.32740572,1.0027558,0.011877768,1.0,0
729673607,729670897,0.29701254,2.2749305e-06,-1.1503384,1.0192453,0.14425471,1.0155408,0
729775414,729772388,0.29667515,2.2712843e-06,0.8738755,1.0444496,0.08123986,1.0415708,0
729877275,729873892,0.29697925,2.266711e-06,-0.7477491,1.0230081,0.06072817,1.0130186,0
730078773,730076885,0.29703683,2.2563177e-06,0.9724208,1.0026553,0.104788676,1.0030884,0
730278258,730274810,0.2973331,2.2451477e-06,-0.25439093,1.0329546,0.0069611263,1.019828,0
730379021,730376320,0.2971415,2.2410018e-06,0.8252274,1.0279679,0.07360803,1.0243214,0
730480808,730477859,0.29727378,2.2386794e-06,-0.8510827,1.0476856,0.07681924,1.0393578,0
730581968,730579300,0.29752895,2.2340953e-06,-1.2624013,1.0220467,0.17325334,1.0201731,0
730683435,730680796,0.29739758,2.2301724e-06,0.36650783,1.023256,0.014586118,1.013098,0
730779976,730777223,0.29706663,2.2266906e-06,1.022643,1.0204806,0.11386776,1.0197353,0
730876091,730873922,0.29721588,2.222471e-06,-0.5491097,1.0026351,0.033414334,1.0,0
730982869,730980216,0.2973106,2.2206507e-06,-0.06472652,1.002341,0.00046441524,1.0,0
731073506,731071563,0.2970389,2.2218815e-06,0.14728165,1.0143876,0.0023760241,1.0076213,0
731277644,731274574,0.2971588,2.229259e-06,-0.13736904,1.0023893,0.0020916972,1.0,0
731378828,731376142,0.29744384,2.2243892e-06,0.20332587,1.0178246,0.0045130467,1.0057333,0
731480598,731477557,0.29737458,2.2132228e-06,-0.30079007,1.003333,0.010019346,1.0,0
731581795,731579050,0.29695687,2.2165048e-06,1.1408925,1.1603085,0.1246446,1.157554,0
731683279,731680557,0.2970991,2.2176296e-06,-0.08399683,1.1362156,0.0006899579,1.1224405,0
731780136,731777217,0.2970845,2.220082e-06,0.38497505,1.0923276,0.015075432,1.0804805,0
731881551,731878474,0.29723898,2.2196127e-06,-0.15464962,1.0550443,0.0025187468,1.0420134,0
731982618,731979971,0.29696304,2.2153097e-06,2.4161701,1.021024,0.6352967,1.063633,0
732073930,732071319,0.29691538,2.2103027e-06,-1.671276,1.0678847,0.29062265,1.0749074,0
732174866,732172806,0.29699755,2.2042584e-06,-0.88348556,1.0560877,0.08212141,1.0515846,0
732277785,732274388,0.2967554,2.2007189e-06,-1.5791987,1.0720586,0.25847143,1.0830437,0
732379202,732375809,0.29681006,2.20045e-06,0.01824972,1.0945904,3.3807908e-05,1.0812899,0
732480002,732477316,0.2970336,2.1983033e-06,-1.3884475,1.1043557,0.19395788,1.1107143,0
732581536,732578800,0.2970772,2.1968008e-06,0.625854,1.1059808,0.03935102,1.0959597,0
732678450,732675424,0.29700816,2.1946382e-06,1.8342662,1.0791966,0.346403,1.0984963,0
732779752,732776723,0.2968799,2.195256e-06,0.45725513,1.0648493,0.021816572,1.0534909,0
732880935,732878206,0.29665747,2.1988071e-06,-0.5832956,1.0635338,0.035545416,1.0555449,0
732982365,732979698,0.2969816,2.193834e-06,0.7822796,1.0988446,0.061879274,1.0904398,0
733174551,733172670,0.29687306,2.19153e-06,0.030979216,1.1065856,9.636367e-05,1.092824,0
733275928,733274038,0.29703173,2.1900757e-06,0.5531626,1.0864401,0.031293727,1.0760946,0
733474033,733471957,0.29729104,2.1837388e-06,0.20408976,1.0550106,0.0043867524,1.0425218,0
733575617,733573660,0.29714653,2.1810647e-06,-1.1901605,1.0327827,0.1523911,1.0330801,0
733676940,733674941,0.29703695,2.1788512e-06,1.3800085,1.01777,0.20790806,1.0239238,0
733779070,733776438,0.2965951,2.1759406e-06,1.8949661,1.0242189,0.38955396,1.0430458,0
733880662,733877929,0.29669625,2.173109e-06,1.0209208,1.0529062,0.10998967,1.0485985,0
733982653,733979660,0.29688781,2.170227e-06,-0.8788421,1.0632365,0.08071409,1.0579371,0
734078926,734075876,0.29684466,2.1666174e-06,0.014403701,1.0367948,2.2233759e-05,1.026294,0
734180043,734177335,0.29710785,2.1625526e-06,-0.8400487,1.019211,0.076931156,1.0126479,0
734281553,734278837,0.29718137,2.158521e-06,-0.2503389,1.0027552,0.006944153,1.0,0
734473872,734471900,0.29749626,2.1487713e-06,-0.95483714,1.0050517,0.10079238,1.0009192,0
