timestamp,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
707922068,0.7064738,-0.011016657,0.012630605,0.70754075,0.94738925,-3.8694037e-10,8.6731296e-11,-0.32008398,4
707927142,0.70650655,-0.011011663,0.012633748,0.7075081,0.94738925,-3.8694037e-10,8.6731296e-11,-0.32008398,4
708033745,0.70655143,-0.011017145,0.012600896,0.70746374,0.94738925,-3.8694037e-10,8.6731296e-11,-0.32008398,4
708038821,0.7065108,-0.011035233,0.012574458,0.7075045,0.94738925,-3.8694037e-10,8.6731296e-11,-0.32008398,4
708043893,0.7064902,-0.011043468,0.012598487,0.70752454,0.94738925,-3.8694037e-10,8.6731296e-11,-0.32008398,4
708049186,0.70650905,-0.011036578,0.012639535,0.7075051,0.94738925,-3.8694037e-10,8.6731296e-11,-0.32008398,4
708054155,0.70653343,-0.011000864,0.012655414,0.707481,0.94738925,-3.8694037e-10,8.6731296e-11,-0.32008398,4
708059183,0.7065366,-0.010985432,0.012646776,0.7074783,0.94738925,-3.8694037e-10,8.6731296e-11,-0.32008398,4
708064212,0.7065293,-0.011029138,0.012624263,0.70748526,0.94738925,-3.8694037e-10,8.6731296e-11,-0.32008398,4
708069272,0.7065141,-0.011069372,0.012610851,0.70750004,0.94738925,-3.8694037e-10,8.6731296e-11,-0.32008398,4
708074360,0.70650697,-0.011045713,0.012600337,0.7075078,0.94738925,-3.8694037e-10,8.6731296e-11,-0.32008398,4
708079440,0.7065132,-0.011001867,0.0126139,0.707502,0.94738925,-3.8694037e-10,8.6731296e-11,-0.32008398,4
708084503,0.7065327,-0.011010036,0.012645771,0.70748174,0.94738925,-3.8694037e-10,8.6731296e-11,-0.32008398,4
708089572,0.7065328,-0.011025819,0.012657268,0.7074812,0.94738925,-3.8694037e-10,8.6731296e-11,-0.32008398,4
708094657,0.70651567,-0.011026903,0.012636371,0.70749867,0.94738925,-3.8694037e-10,8.6731296e-11,-0.32008398,4
708099726,0.7065096,-0.011027803,0.012627108,0.7075049,0.94738925,-3.8694037e-10,8.6731296e-11,-0.32008398,4
708104800,0.7065159,-0.0110487,0.012624533,0.7074983,0.94738925,-3.8694037e-10,8.6731296e-11,-0.32008398,4
708109879,0.70652586,-0.011039051,0.012625542,0.7074885,0.94738925,-3.8694037e-10,8.6731296e-11,-0.32008398,4
708114960,0.70652217,-0.011005557,0.01262942,0.7074927,0.94738925,-3.8694037e-10,8.6731296e-11,-0.32008398,4
708120028,0.70652914,-0.010996143,0.01264473,0.70748556,0.94738925,-3.8694037e-10,8.6731296e-11,-0.32008398,4
708125117,0.70652235,-0.011020744,0.012640284,0.70749205,0.94738925,-3.8694037e-10,8.6731296e-11,-0.32008398,4
708130443,0.70651424,-0.011040367,0.012628668,0.70750004,0.94738925,-3.8694037e-10,8.6731296e-11,-0.32008398,4
708135424,0.7065106,-0.011048894,0.012635402,0.70750344,0.94738925,-3.8694037e-10,8.6731296e-11,-0.32008398,4
708140381,0.70652837,-0.011037835,0.012646252,0.7074857,0.94738925,-3.8694037e-10,8.6731296e-11,-0.32008398,4
708155560,0.7065117,-0.011029211,0.012640803,0.70750254,0.94738925,-3.8694037e-10,8.6731296e-11,-0.32008398,4
708160643,0.7065145,-0.011016872,0.012641994,0.7074999,0.94738925,-3.8694037e-10,8.6731296e-11,-0.32008398,4
708165715,0.7065234,-0.011023426,0.012632546,0.7074911,0.94738925,-3.8694037e-10,8.6731296e-11,-0.32008398,4
708170794,0.706522,-0.011051095,0.012636329,0.70749205,0.94738925,-3.8694037e-10,8.6731296e-11,-0.32008398,4
708175882,0.7065239,-0.0110402685,0.012655258,0.7074899,0.94738925,-3.8694037e-10,8.6731296e-11,-0.32008398,4
708180940,0.7065281,-0.011010715,0.012658205,0.7074861,0.94738925,-3.8694037e-10,8.6731296e-11,-0.32008398,4
708186020,0.70652455,-0.011028475,0.012648452,0.70748955,0.94738925,-3.8694037e-10,8.6731296e-11,-0.32008398,4
708191110,0.70651114,-0.011051074,0.012648251,0.7075026,0.94738925,-3.8694037e-10,8.6731296e-11,-0.32008398,4
708196200,0.7065094,-0.011024967,0.012652528,0.70750463,0.94738925,-3.8694037e-10,8.6731296e-11,-0.32008398,4
708201298,0.7065224,-0.010995323,0.012645015,0.7074923,0.94738925,-3.8694037e-10,8.6731296e-11,-0.32008398,4
708206323,0.7065363,-0.011030117,0.012637775,0.707478,0.94738925,-3.8694037e-10,8.6731296e-11,-0.32008398,4
708211613,0.70652825,-0.011053401,0.0126385605,0.7074856,0.94738925,-3.8694037e-10,8.6731296e-11,-0.32008398,4
708216625,0.706518,-0.011020475,0.012649829,0.7074962,0.94738925,-3.8694037e-10,8.6731296e-11,-0.32008398,4
708221616,0.7065222,-0.011009295,0.012649346,0.7074922,0.94738925,-3.8694037e-10,8.6731296e-11,-0.32008398,4
708226656,0.70652986,-0.011041527,0.012636013,0.7074843,0.94738925,-3.8694037e-10,8.6731296e-11,-0.32008398,4
708231727,0.7065218,-0.011031517,0.012630671,0.7074926,0.94738925,-3.8694037e-10,8.6731296e-11,-0.32008398,4
708236831,0.7065229,-0.010997182,0.012643138,0.7074918,0.94738925,-3.8694037e-10,8.6731296e-11,-0.32008398,4
708241852,0.7065352,-0.01101436,0.012644214,0.7074792,0.94738925,-3.8694037e-10,8.6731296e-11,-0.32008398,4
708246942,0.7065339,-0.011040645,0.012634158,0.70748025,0.94738925,-3.8694037e-10,8.6731296e-11,-0.32008398,4
708252004,0.706516,-0.01102192,0.012638085,0.70749843,0.94738925,-3.8694037e-10,8.6731296e-11,-0.32008398,4
708257130,0.70652044,-0.011011091,0.012662689,0.7074938,0.94738925,-3.8694037e-10,8.6731296e-11,-0.32008398,4
