50 0 0.010000 284.5846, 303.3763, 305.7302, 304.1402, 305.3437, 314.8384, 284.1981, 314.0745
50 1 0.040000 284.6063, 303.5536, 305.7398, 304.4247, 305.3172, 314.6784, 284.1837, 313.8073
50 2 0.070000 284.6529, 303.2834, 305.7741, 304.2528, 305.2676, 315.2888, 284.1464, 314.3194
50 3 0.110000 284.7445, 302.7936, 305.8444, 303.8870, 305.2306, 315.7326, 284.1306, 314.6392
50 4 0.140000 284.8427, 302.2499, 305.9215, 303.4255, 305.2338, 315.7555, 284.1550, 314.5798
50 5 0.170000 284.9626, 301.6391, 306.0134, 302.8757, 305.2754, 315.4383, 284.2246, 314.2017
50 6 0.200000 285.1148, 300.8328, 306.1312, 302.1178, 305.3465, 314.9517, 284.3301, 313.6667
50 7 0.240000 285.3565, 299.6512, 306.3150, 300.9686, 305.5003, 313.9295, 284.5418, 312.6121
50 8 0.270000 285.5657, 298.7382, 306.4712, 300.0608, 305.6600, 312.8838, 284.7545, 311.5613
50 9 0.310000 285.9207, 297.2980, 306.7477, 298.7080, 305.8915, 311.3544, 285.0645, 309.9444
50 10 0.340000 286.2165, 295.8595, 306.9826, 297.2508, 306.1071, 310.3186, 285.3410, 308.9273
50 11 0.370000 286.5317, 294.7504, 307.2240, 296.1531, 306.3690, 308.7663, 285.6766, 307.3636
50 12 0.400000 286.8698, 293.2452, 307.4793, 294.5538, 306.6617, 307.4303, 286.0521, 306.1216
50 13 0.440000 287.3333, 291.4561, 307.8515, 292.5825, 307.1580, 305.2153, 286.6398, 304.0889
50 14 0.470000 287.6854, 290.2009, 308.1402, 291.1469, 307.5745, 303.3803, 287.1196, 302.4342
50 15 0.500000 288.0563, 288.6815, 308.4447, 289.4395, 307.9829, 301.8607, 287.5946, 301.1028
50 16 0.540000 288.5449, 287.2035, 308.8372, 287.7321, 308.5252, 299.7102, 288.2329, 299.1815
50 17 0.570000 288.8906, 286.4429, 309.1094, 286.7803, 308.9182, 298.2378, 288.6994, 297.9004
50 18 0.610000 289.3321, 285.7060, 309.4498, 285.7913, 309.4035, 296.7226, 289.2857, 296.6374
50 19 0.640000 289.6417, 285.3272, 309.6816, 285.2395, 309.7285, 295.9537, 289.6886, 296.0413
50 20 0.670000 289.9323, 285.3328, 309.8946, 285.0879, 310.0194, 295.2541, 290.0570, 295.4990
50 21 0.700000 290.1938, 285.3710, 310.0771, 284.9831, 310.2717, 294.9563, 290.3883, 295.3442
50 22 0.740000 290.4999, 285.8595, 310.2791, 285.3004, 310.5488, 294.8401, 290.7695, 295.3992
50 23 0.770000 290.6881, 286.3224, 310.3908, 285.6567, 310.7191, 295.3715, 291.0163, 296.0372
50 24 0.800000 290.8369, 286.9060, 310.4629, 286.1424, 310.8453, 295.9699, 291.2193, 296.7335
50 25 0.840000 290.9736, 287.9158, 310.5010, 287.0509, 310.9524, 297.2415, 291.4250, 298.1065
50 26 0.870000 291.0291, 288.8660, 310.4859, 287.9468, 310.9865, 298.5425, 291.5297, 299.4618
50 27 0.900000 291.0518, 290.1759, 310.4390, 289.2145, 310.9708, 299.9389, 291.5836, 300.9003
50 28 0.940000 291.0191, 292.1652, 310.3188, 291.1752, 310.8851, 302.2159, 291.5854, 303.2058
50 29 0.970000 290.9472, 293.7795, 310.1860, 292.7938, 310.7696, 304.1835, 291.5308, 305.1692
50 30 1.000000 290.8372, 295.6049, 310.0209, 294.6444, 310.5930, 306.0702, 291.4093, 307.0307
50 31 1.040000 290.5655, 297.8837, 309.7067, 296.9179, 310.2894, 308.4671, 291.1482, 309.4329
50 32 1.070000 290.2911, 299.2321, 309.3892, 298.2496, 310.0013, 310.1483, 290.9031, 311.1307
50 33 1.110000 289.8584, 300.7193, 308.9331, 299.8272, 309.4986, 311.9175, 290.4239, 312.8096
50 34 1.140000 289.4897, 301.6315, 308.5405, 300.8459, 309.0356, 312.8522, 289.9848, 313.6378
50 35 1.170000 289.0596, 302.0955, 308.1188, 301.4455, 308.5385, 313.7525, 289.4793, 314.4025
50 36 1.210000 288.4437, 302.5015, 307.4906, 302.0489, 307.7852, 314.4469, 288.7383, 314.8995
50 37 1.240000 287.9355, 302.8477, 306.9892, 302.5347, 307.1843, 314.4135, 288.1306, 314.7265
50 38 1.270000 287.4217, 302.5945, 306.4804, 302.4941, 306.5440, 314.5678, 287.4853, 314.6683
50 39 1.310000 286.7306, 302.1858, 305.8142, 302.4595, 305.6457, 314.2060, 286.5622, 313.9323
50 40 1.340000 286.2026, 301.8363, 305.2777, 302.3634, 304.9699, 313.5011, 285.8949, 312.9741
50 41 1.370000 285.6915, 300.8992, 304.7611, 301.6828, 304.2966, 312.9872, 285.2269, 312.2035
50 42 1.410000 284.9906, 299.7777, 304.0436, 300.7958, 303.4694, 311.5419, 284.4164, 310.5239
50 43 1.440000 284.5179, 298.7193, 303.5406, 299.9835, 302.8600, 310.2246, 283.8373, 308.9604
50 44 1.470000 284.0770, 297.3053, 303.0893, 298.7947, 302.2958, 308.9241, 283.2835, 307.4347
50 45 1.510000 283.5780, 295.2608, 302.5370, 297.0942, 301.5824, 306.9659, 282.6234, 305.1325
50 46 1.540000 283.2095, 293.9210, 302.1248, 295.9405, 301.1376, 305.1869, 282.2223, 303.1675
50 47 1.570000 282.9211, 292.2793, 301.7962, 294.5184, 300.7047, 303.7188, 281.8297, 301.4797
50 48 1.610000 282.5833, 290.2867, 301.3937, 292.7541, 300.2356, 301.5825, 281.4253, 299.1151
50 49 1.640000 282.4474, 288.4545, 301.2097, 291.1277, 299.9375, 300.0569, 281.1752, 297.3837
50 50 1.670000 282.3624, 286.7943, 301.0657, 289.6756, 299.6955, 298.5697, 280.9922, 295.6884
50 51 1.710000 282.3782, 284.4273, 301.0133, 287.5794, 299.4891, 296.5910, 280.8539, 293.4389
50 52 1.740000 282.5157, 282.4263, 301.0976, 285.7307, 299.4245, 295.1389, 280.8426, 291.8345
50 53 1.770000 282.7075, 280.6015, 301.2421, 284.0785, 299.5039, 293.3443, 280.9693, 289.8674
50 54 1.810000 283.1635, 277.8386, 301.6327, 281.5055, 299.7669, 290.9028, 281.2977, 287.2359
50 55 1.840000 283.6622, 275.5064, 302.0906, 279.2873, 300.0984, 288.9974, 281.6700, 285.2164
50 56 1.870000 284.2149, 273.3574, 302.5997, 277.2537, 300.6207, 286.5920, 282.2358, 282.6958
50 57 1.910000 285.1730, 270.0980, 303.5205, 274.0856, 301.5286, 283.2508, 283.1811, 279.2632
50 58 1.940000 286.0698, 267.3351, 304.4040, 271.3465, 302.3611, 280.6835, 284.0270, 276.6721
50 59 1.970000 287.0169, 264.7713, 305.3376, 268.7998, 303.3880, 277.6660, 285.0673, 273.6375
50 60 2.010000 288.4941, 261.0568, 306.8147, 265.0472, 304.9067, 273.8072, 286.5860, 269.8168
50 61 2.040000 289.6813, 258.4014, 308.0153, 262.3384, 306.1575, 270.9896, 287.8236, 267.0526
50 62 2.070000 290.9120, 256.0330, 309.2620, 259.9441, 307.4383, 268.5008, 289.0882, 264.5897
50 63 2.110000 292.7147, 252.7206, 311.1130, 256.5437, 309.2345, 265.5838, 290.8362, 261.7607
50 64 2.140000 294.1040, 250.5309, 312.5464, 254.2493, 310.6776, 263.5179, 292.2352, 259.7995
50 65 2.170000 295.5645, 248.4082, 314.0585, 252.0137, 312.1703, 261.6986, 293.6764, 258.0931
50 66 2.210000 297.5775, 245.8515, 316.1535, 249.2717, 314.2892, 259.3968, 295.7132, 255.9765
50 67 2.240000 299.1371, 244.1941, 317.7657, 247.4651, 315.9785, 257.6433, 297.3500, 254.3723
50 68 2.270000 300.7849, 242.4242, 319.4881, 245.5535, 317.7142, 256.1561, 299.0109, 253.0267
50 69 2.310000 303.0589, 240.3108, 321.8512, 243.2484, 320.1585, 254.0773, 301.3661, 251.1397
50 70 2.340000 304.8090, 238.8842, 323.6726, 241.6281, 322.1032, 252.4172, 303.2396, 249.6733
50 71 2.370000 306.6503, 237.2905, 325.5978, 239.8727, 324.0901, 250.9354, 305.1427, 248.3533
50 72 2.410000 309.1779, 235.3277, 328.2367, 237.6920, 326.8643, 248.7553, 307.8055, 246.3911
50 73 2.440000 311.1272, 233.9874, 330.2657, 236.1861, 329.0302, 246.9404, 309.8917, 244.7417
50 74 2.470000 313.1507, 232.4239, 332.3914, 234.4802, 331.2311, 245.3369, 311.9904, 243.2806
50 75 2.510000 315.8996, 230.5788, 335.2719, 232.4436, 334.2475, 243.0849, 314.8753, 241.2201
50 76 2.540000 317.9877, 229.5171, 337.4381, 231.2190, 336.5502, 241.3668, 317.0997, 239.6649
50 77 2.570000 320.1022, 228.5080, 339.6427, 230.0364, 338.8660, 239.9666, 319.3254, 238.4382
50 78 2.610000 322.9398, 227.6005, 342.5843, 228.8715, 341.9756, 238.2782, 322.3312, 237.0072
50 79 2.640000 325.0840, 227.2140, 344.7960, 228.2881, 344.3116, 237.1776, 324.5997, 236.1035
50 80 2.670000 327.2375, 226.8771, 347.0325, 227.7530, 346.6492, 236.4145, 326.8543, 235.5386
50 81 2.710000 330.1103, 226.5620, 350.0132, 227.1368, 349.7694, 235.5803, 329.8665, 235.0056
50 82 2.740000 332.2403, 226.3228, 352.2747, 226.6758, 352.1176, 235.5885, 332.0833, 235.2356
