75 0 0.010000 549.1070, 131.8735, 594.7445, 132.9978, 594.1778, 156.0017, 548.5402, 154.8774
75 1 0.040000 547.8038, 133.2159, 594.2076, 130.8831, 595.4238, 155.0739, 549.0200, 157.4068
75 2 0.070000 546.6549, 134.0534, 593.4090, 128.9631, 596.1240, 153.9005, 549.3699, 158.9908
75 3 0.110000 545.0110, 133.7165, 591.8165, 126.1182, 595.9572, 151.6251, 549.1517, 159.2234
75 4 0.140000 543.5056, 132.4552, 590.1748, 123.7493, 594.9810, 149.5134, 548.3118, 158.2194
75 5 0.170000 541.7202, 130.6241, 588.1654, 121.3510, 593.3343, 147.2398, 546.8890, 156.5129
75 6 0.200000 539.6443, 128.4581, 585.8188, 119.0175, 591.1376, 145.0322, 544.9630, 154.4727
75 7 0.240000 536.5090, 125.5116, 582.2567, 116.3193, 587.4986, 142.4065, 541.7509, 151.5989
75 8 0.270000 533.9344, 123.5117, 579.3145, 114.7515, 584.3430, 140.8007, 538.9629, 149.5609
75 9 0.310000 530.2604, 121.2777, 575.0992, 113.3500, 579.6973, 139.3567, 534.8585, 147.2844
75 10 0.340000 527.3422, 120.0841, 571.7347, 112.8525, 575.9585, 138.7806, 531.5659, 146.0122
75 11 0.370000 524.3377, 119.3797, 568.2379, 112.9370, 572.0075, 138.6230, 528.1074, 145.0658
75 12 0.400000 521.2568, 118.9522, 564.6475, 113.4754, 567.8825, 139.1058, 524.4919, 144.5826
75 13 0.440000 517.0299, 119.1677, 559.6772, 114.9843, 562.1640, 140.3359, 519.5167, 144.5193
75 14 0.470000 513.8148, 119.8146, 555.8517, 116.6961, 557.7080, 141.7185, 515.6710, 144.8369
75 15 0.500000 510.5357, 120.7342, 551.9505, 118.7002, 553.1691, 143.5112, 511.7542, 145.5452
75 16 0.540000 506.0877, 122.4560, 546.6290, 121.8155, 547.0140, 146.1841, 506.4727, 146.8245
75 17 0.570000 502.6979, 124.1266, 542.5445, 124.4219, 542.3683, 148.1987, 502.5217, 147.9034
75 18 0.610000 498.1112, 126.4761, 537.0774, 127.8948, 536.2334, 151.0767, 497.2672, 149.6580
75 19 0.640000 494.6659, 128.3144, 532.9898, 130.4867, 531.6967, 153.3012, 493.3728, 151.1289
75 20 0.670000 491.2354, 130.3792, 528.9137, 133.2201, 527.2438, 155.3675, 489.5655, 152.5266
