82 0 0.010000 117.1012, 193.2556, 150.9126, 194.9625, 150.1251, 210.5606, 116.3138, 208.8537
82 1 0.040000 117.4164, 190.5415, 151.4317, 193.2990, 150.0988, 209.7412, 116.0835, 206.9836
82 2 0.070000 117.8524, 187.0995, 151.9638, 190.4263, 150.3163, 207.3196, 116.2049, 203.9929
82 3 0.110000 118.5930, 182.1684, 152.7718, 185.9681, 150.8523, 203.2344, 116.6735, 199.4347
82 4 0.140000 119.2486, 178.5749, 153.4614, 182.7202, 151.3428, 200.2059, 117.1299, 196.0605
82 5 0.170000 119.8605, 175.5581, 154.0817, 179.6775, 151.9709, 197.2126, 117.7497, 193.0932
82 6 0.200000 120.5693, 172.8034, 154.7981, 177.1381, 152.5650, 194.7715, 118.3362, 190.4369
82 7 0.240000 121.4815, 170.0602, 155.6922, 174.3965, 153.4558, 192.0402, 119.2451, 187.7039
82 8 0.270000 122.1560, 168.6546, 156.3399, 172.8570, 154.1742, 190.4736, 119.9903, 186.2711
82 9 0.310000 123.1048, 167.4992, 157.2500, 171.6096, 155.1352, 189.1764, 120.9900, 185.0660
82 10 0.340000 123.8614, 167.1493, 157.9779, 171.2940, 155.8511, 188.8010, 121.7345, 184.6563
82 11 0.370000 124.5691, 167.4124, 158.6409, 171.3054, 156.6478, 188.7487, 122.5761, 184.8557
82 12 0.400000 125.3576, 168.0075, 159.3916, 171.9093, 157.4033, 189.2527, 123.3693, 185.3509
82 13 0.440000 126.3939, 169.5499, 160.3649, 173.2487, 158.4903, 190.4662, 124.5192, 186.7675
82 14 0.470000 127.1591, 171.2042, 161.0733, 174.5527, 159.3784, 191.7180, 125.4643, 188.3695
82 15 0.500000 128.0605, 172.9723, 161.9227, 176.3831, 160.2104, 193.3825, 126.3482, 189.9717
82 16 0.540000 129.3097, 175.6509, 163.0727, 178.9490, 161.4364, 195.7007, 127.6734, 192.4027
82 17 0.570000 130.2497, 177.8598, 163.9136, 180.7357, 162.4959, 197.3303, 128.8320, 194.4543
