53 0 0.010000 446.2335, 136.3169, 470.4042, 137.0481, 469.9854, 150.8940, 445.8147, 150.1628
53 1 0.040000 445.9672, 136.7261, 470.2892, 136.8254, 470.2314, 150.9689, 445.9094, 150.8695
53 2 0.070000 445.7431, 137.2030, 470.1657, 136.8303, 470.3847, 151.1828, 445.9622, 151.5555
53 3 0.110000 445.4471, 137.7517, 469.9497, 136.9164, 470.4458, 151.4696, 445.9432, 152.3049
53 4 0.140000 445.1968, 138.0559, 469.7296, 136.9710, 470.3783, 151.6403, 445.8456, 152.7253
53 5 0.170000 444.9505, 138.2546, 469.4695, 137.0899, 470.1684, 151.8022, 445.6493, 152.9670
53 6 0.200000 444.6306, 138.4085, 469.1340, 137.1575, 469.8884, 151.9340, 445.3850, 153.1850
53 7 0.240000 444.1624, 138.5522, 468.6029, 137.3415, 469.3360, 152.1404, 444.8955, 153.3511
53 8 0.270000 443.7920, 138.6438, 468.1479, 137.5952, 468.7827, 152.3421, 444.4268, 153.3907
53 9 0.310000 443.1502, 138.8306, 467.4219, 137.8847, 467.9969, 152.6395, 443.7252, 153.5854
53 10 0.340000 442.5656, 139.0183, 466.7925, 138.0712, 467.3727, 152.9122, 443.1458, 153.8593
53 11 0.370000 442.0706, 139.2059, 466.1651, 138.5780, 466.5486, 153.2915, 442.4540, 153.9194
53 12 0.400000 441.4157, 139.4646, 465.4435, 138.9089, 465.7857, 153.7019, 441.7578, 154.2576
53 13 0.440000 440.5477, 139.8919, 464.4338, 139.5812, 464.6260, 154.3504, 440.7398, 154.6611
53 14 0.470000 439.8954, 140.3186, 463.6377, 140.2692, 463.6681, 154.8817, 439.9258, 154.9310
53 15 0.500000 439.1370, 140.7585, 462.7914, 140.8181, 462.7544, 155.5436, 439.0999, 155.4841
53 16 0.540000 438.1485, 141.4926, 461.6335, 141.8149, 461.4311, 156.5645, 437.9461, 156.2423
53 17 0.570000 437.3771, 142.3572, 460.7131, 142.8369, 460.4165, 157.2647, 437.0804, 156.7849
53 18 0.610000 436.3225, 143.4969, 459.4938, 144.2170, 459.0477, 158.5719, 435.8763, 157.8517
53 19 0.640000 435.5234, 144.4512, 458.5745, 145.3573, 458.0089, 159.7458, 434.9578, 158.8398
53 20 0.670000 434.7219, 145.6791, 457.6410, 146.7794, 456.9622, 160.9200, 434.0431, 159.8197
53 21 0.700000 433.9160, 146.9279, 456.7224, 148.2146, 455.9239, 162.3663, 433.1175, 161.0796
53 22 0.740000 432.8386, 148.9680, 455.4945, 150.4926, 454.5569, 164.4264, 431.9009, 162.9018
53 23 0.770000 432.0407, 150.7866, 454.5752, 152.4978, 453.5420, 166.1039, 431.0075, 164.3927
53 24 0.800000 431.2469, 152.6861, 453.6889, 154.5733, 452.5517, 168.0962, 430.1097, 166.2089
53 25 0.840000 430.2058, 155.6743, 452.5174, 157.8002, 451.2621, 170.9741, 428.9506, 168.8481
53 26 0.870000 429.4382, 158.2593, 451.6503, 160.5653, 450.3252, 173.3289, 428.1132, 171.0230
53 27 0.900000 428.6873, 160.9741, 450.8275, 163.4532, 449.4201, 176.0225, 427.2799, 173.5434
53 28 0.940000 427.7169, 165.0310, 449.7605, 167.7426, 448.2701, 179.8586, 426.2265, 177.1470
53 29 0.970000 427.0213, 168.3546, 448.9895, 171.2409, 447.4643, 182.8490, 425.4962, 179.9627
53 30 1.000000 426.3762, 171.6178, 448.3076, 174.6705, 446.7270, 186.0262, 424.7956, 182.9735
53 31 1.040000 425.5999, 175.8986, 447.5370, 179.1281, 445.9338, 190.0181, 423.9966, 186.7886
53 32 1.070000 425.1347, 178.9301, 447.0976, 182.3629, 445.4880, 192.6605, 423.5252, 189.2277
53 33 1.110000 424.6787, 182.4405, 446.6937, 185.9178, 445.1269, 195.8372, 423.1119, 192.3599
53 34 1.140000 424.5534, 184.5138, 446.5566, 188.0162, 444.9490, 198.1161, 422.9457, 194.6137
53 35 1.170000 424.4513, 186.7233, 446.5360, 190.2496, 445.0214, 199.7352, 422.9367, 196.2089
53 36 1.210000 424.6066, 188.9919, 446.7290, 192.5771, 445.2351, 201.7947, 423.1128, 198.2095
53 37 1.240000 424.8670, 190.2974, 447.0304, 193.7824, 445.5502, 203.1954, 423.3869, 199.7104
53 38 1.270000 425.1801, 191.7240, 447.4282, 195.1140, 446.0332, 204.2692, 423.7851, 200.8792
53 39 1.310000 425.8003, 193.0922, 448.1566, 196.2122, 446.8744, 205.3993, 424.5182, 202.2793
53 40 1.340000 426.4401, 193.7131, 448.8454, 196.6656, 447.6301, 205.8882, 425.2248, 202.9358
