3 0 0.010000 369.6939, 228.5872, 386.9169, 229.2158, 386.6010, 237.8726, 369.3779, 237.2441
3 1 0.040000 369.6808, 229.0075, 386.9044, 229.6359, 386.5890, 238.2829, 369.3653, 237.6545
3 2 0.070000 369.6516, 229.9425, 386.8768, 230.5705, 386.5623, 239.1956, 369.3371, 238.5676
3 3 0.110000 369.5877, 231.9904, 386.8162, 232.6176, 386.5040, 241.1946, 369.2755, 240.5675
3 4 0.140000 369.5252, 234.1881, 386.7499, 234.8283, 386.4381, 243.2181, 369.2134, 242.5779
3 5 0.170000 369.4620, 237.0432, 386.6515, 237.7311, 386.3471, 245.3376, 369.1575, 244.6497
3 6 0.200000 369.3909, 239.3589, 386.6152, 240.0799, 386.2739, 248.2341, 369.0496, 247.5132
3 7 0.240000 369.3212, 242.0812, 386.5892, 242.8186, 386.2068, 251.7738, 368.9388, 251.0364
3 8 0.270000 369.2920, 243.9168, 386.5904, 244.6583, 386.1852, 254.1110, 368.8868, 253.3694
3 9 0.310000 369.2896, 246.0754, 386.6264, 246.8170, 386.2008, 256.7650, 368.8641, 256.0233
3 10 0.340000 369.3172, 247.4916, 386.6824, 248.2330, 386.2473, 258.4241, 368.8821, 257.6828
3 11 0.370000 369.3740, 248.6979, 386.7739, 249.4543, 386.3206, 259.8813, 368.9207, 259.1250
3 12 0.400000 369.4551, 249.7930, 386.8895, 250.5621, 386.4254, 261.0830, 368.9910, 260.3139
3 13 0.440000 369.6076, 251.0143, 387.0975, 251.8205, 386.6083, 262.4342, 369.1184, 261.6281
3 14 0.470000 369.7566, 251.7536, 387.2973, 252.6065, 386.7767, 263.3147, 369.2359, 262.4618
3 15 0.500000 369.9257, 252.4898, 387.5134, 253.3727, 386.9810, 263.9786, 369.3933, 263.0956
3 16 0.540000 370.1794, 253.3489, 387.8368, 254.2290, 387.3141, 264.7136, 369.6568, 263.8335
3 17 0.570000 370.4160, 253.8081, 388.1389, 254.7434, 387.5828, 265.2832, 369.8599, 264.3480
3 18 0.610000 370.7604, 254.3409, 388.5723, 255.3046, 387.9977, 265.9258, 370.1857, 264.9621
3 19 0.640000 371.0682, 254.7857, 388.9449, 255.8536, 388.3251, 266.2287, 370.4485, 265.1609
3 20 0.670000 371.4030, 254.9680, 389.3615, 256.1037, 388.6922, 266.6866, 370.7337, 265.5509
3 21 0.700000 371.7647, 255.3318, 389.7897, 256.5405, 389.0983, 266.8508, 371.0733, 265.6421
3 22 0.740000 372.2985, 255.6319, 390.4256, 256.9187, 389.7043, 267.0798, 371.5772, 265.7929
3 23 0.770000 372.7450, 255.7019, 390.9615, 257.0507, 390.2049, 267.2685, 371.9885, 265.9197
3 24 0.800000 373.2209, 255.9469, 391.5066, 257.3468, 390.7559, 267.1521, 372.4702, 265.7523
3 25 0.840000 373.9213, 256.0512, 392.3149, 257.5147, 391.5592, 267.0126, 373.1656, 265.5490
3 26 0.870000 374.4987, 255.9510, 392.9863, 257.4606, 392.2136, 266.9242, 373.7259, 265.4146
3 27 0.900000 375.1072, 256.0342, 393.6655, 257.5771, 392.9234, 266.5033, 374.3651, 264.9604
3 28 0.940000 375.9949, 255.9040, 394.6605, 257.5052, 393.9354, 265.9589, 375.2697, 264.3577
3 29 0.970000 376.7044, 255.6459, 395.4769, 257.2720, 394.7603, 265.5441, 375.9879, 263.9181
3 30 1.000000 377.4790, 254.9192, 396.3953, 256.5857, 395.6325, 265.2447, 376.7161, 263.5782
3 31 1.040000 378.5815, 253.9172, 397.6695, 255.6238, 396.8309, 265.0039, 377.7428, 263.2973
3 32 1.070000 379.4377, 253.2828, 398.6475, 254.9903, 397.7942, 264.5907, 378.5844, 262.8832
3 33 1.110000 380.6504, 252.1649, 400.0335, 253.8595, 399.1341, 264.1464, 379.7510, 262.4517
3 34 1.140000 381.5994, 251.2135, 401.1240, 252.8883, 400.1887, 263.7922, 380.6641, 262.1174
3 35 1.170000 382.5714, 250.4097, 402.2150, 252.0454, 401.2890, 263.1668, 381.6454, 261.5311
3 36 1.210000 383.9329, 249.1263, 403.7369, 250.7353, 402.7951, 262.3271, 382.9911, 260.7182
3 37 1.240000 384.9952, 247.9448, 404.9222, 249.5225, 403.9553, 261.7352, 384.0283, 260.1576
3 38 1.270000 386.0539, 246.9183, 406.0960, 248.4156, 405.1694, 260.8194, 385.1273, 259.3222
3 39 1.310000 387.4764, 245.3590, 407.6926, 246.6960, 406.8461, 259.4958, 386.6299, 258.1588
3 40 1.340000 388.5863, 243.9047, 408.9198, 245.1458, 408.1018, 258.5475, 387.7682, 257.3064
