Time (s),ESC signal (µs),Servo 1 (µs),Servo 2 (µs),Servo 3 (µs),AccX (g),AccY (g),AccZ (g),Torque (N·m),Thrust (kgf),Voltage (V),Current (A),Motor Electrical Speed (rad/s),Motor Optical Speed (rad/s),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (kgf/W),Overall Efficiency (kgf/W),Vibration (g),App message,
0.23722799999986313,1000,,,,-0.0625,0.0400390625,-0.9650390625,0.00010202961842320191,0.008809370184278924,16.699084685668044,0.044937362376793924,0,0,0.7504124525965189,0,0,0,0,0.05859375,,
0.23706149999985934,1100,,,,-0.04912109375,0.0654296875,-0.96767578125,0.0007020497446516883,0.011723990809570524,16.680787706832234,0.2709831147743483,0,0,4.520211789660308,0,0,0,0,0.36455078125,,
3.7387734999999873,1200,,,,-0.06884765625,0.0150390625,-0.97353515625,0.0036330417645728417,0.031022824374732683,16.614963950355747,1.0065516574068574,1151.70786680976,0,16.723817655782252,4.184148920719536,25.01956440459665,0.0074146879369304305,0.0018550392633358628,0.82978515625,,
7.237583499999948,1300,,,,-0.06796875,0.02412109375,-0.98046875,0.00802515723701728,0.05906540567859318,16.487283041739083,2.328592183733696,1678.4482350633598,0,38.392157965594755,13.469862798826096,35.08481195976961,0.0043855845042597,0.0015384857005905582,0.7017578125,,
10.736679749999869,1400,,,,-0.108984375,0.078125,-0.98193359375,0.014320799081436644,0.06939891518924465,16.308028650210794,4.080343359429311,2125.39214991552,0,66.54233578698077,30.437116921658735,45.741323872735485,0.002280104742804152,0.0010429471211060247,0.6435546875,,
14.237066749999974,1500,,,,-0.03876953125,0.03310546875,-0.97783203125,0.020939631630610515,0.10876740360340062,16.08499761506723,6.253814936544498,2548.45996060032,0,100.59262958684516,53.36376923535543,53.04970755799835,0.0020382346403361425,0.0010812813333178069,0.5962890625,,
17.73773999999999,1600,,,,-0.04345703125,0.025,-0.98154296875,0.026851630285706925,0.1533959357287602,15.794330925628637,8.953630353216127,2909.8478355194397,0,141.41661644776968,78.1349469564764,55.25157395028591,0.0019632460366578856,0.0010847116560833954,0.5990234375,,
21.237764999999968,1700,,,,-0.059765625,0.05224609375,-0.971875,0.03244413120157537,0.19481260231373515,15.471958128977912,12.055950825401563,3245.7888099444,0,186.52923030231494,105.30635969293098,56.45596351166688,0.0018499716691492251,0.001044409640029941,1.06923828125,,
24.736725499999896,1800,,,,-0.0521484375,0.03466796875,-0.98310546875,0.0380505839950926,0.20891667595797886,15.027999690725618,16.227958052759295,3530.52182411568,0,243.87381060297844,134.339194966146,55.08588606022729,0.001555106553197573,0.0008566188390953863,1.38212890625,,
28.23748874999983,1900,,,,0.01396484375,-0.0607421875,-0.9654296875,0.04849210026832666,0.19658590931127412,14.61604486775405,19.997893899528684,3813.8934814704,0,292.2901422299823,184.94645616496888,63.274875543534904,0.0010629373152303192,0.000672569736019895,1.02470703125,,
31.737635999999917,2000,,,,-0.01689453125,0.10283203125,-0.97236328125,0.0508876999646927,0.21597962483421704,14.343992667337432,21.999741385301274,3891.2813805040796,0,315.5641593828072,198.02119859284088,62.75191370819365,0.0010913556780580628,0.0006844229548454771,1.374609375,,
35.23711174999994,2000,,,,0.08876953125,-0.045703125,-0.96640625,0.04933197116529708,0.2117789788732492,14.290684781017745,21.725559004767533,3850.6501155175197,0,310.47311901299986,189.9590077119326,61.18380772394912,0.0011155093597736575,0.0006821166376814307,1.28857421875,,
38.73744499999997,1900,,,,-0.1619140625,0.04892578125,-0.991015625,0.046067506987150966,0.187929828598789,14.42715966311194,19.467600709161445,3713.0483572898397,0,280.8621787779905,171.04851601192448,60.90106317261019,0.0010987403613232664,0.0006691189668936945,1.96728515625,,
42.23903074999987,1800,,,,-0.06220703125,0.01376953125,-0.94736328125,0.0416389631325019,0.1570369465956899,14.727498253672413,15.001194245703179,3437.11180254864,0,220.9300578822093,143.11837542984136,64.78007572332439,0.001097287439919512,0.000710820785345818,1.2927734375,,
45.73775599999989,1700,,,,0.06357421875,0.0138671875,-0.9978515625,0.035449668007585186,0.1373960538739593,14.973628320034157,11.31392802184541,3080.12215734456,0,169.41054376365645,109.1887224061564,64.45189523994728,0.0012588968499110662,0.0008110256138079882,1.0103515625,,
49.237591749999936,1600,,,,-0.030859375,0.04501953125,-0.970703125,0.029549080508674757,0.10867484246195484,15.1621996656822,8.43232723844649,2760.62218447344,0,127.85262896608222,81.57515590210251,63.804113559558814,0.0013328302666705638,0.0008500023790895834,0.5009765625,,
52.73766124999988,1500,,,,-0.07890625,0.05400390625,-0.98759765625,0.02405407219408419,0.07793539655572697,15.329524026976035,5.8843928568975645,2398.082392248,0,90.20493189584646,57.68305544299774,63.94667374586311,0.001351622487631467,0.0008639860744010207,1.02412109375,,
56.23780199999992,1400,,,,-0.078125,0.0134765625,-0.97138671875,0.018984897209571076,0.046207782283156355,15.45452851302333,4.08260738366238,1990.8272645863199,0,63.09476291554764,37.79626299480296,59.90398664431027,0.001222575473958065,0.0007323673411192829,0.54873046875,,
59.73803174999989,1300,,,,-0.0361328125,0.0462890625,-0.9419921875,0.014719851693196614,0.024460818818784525,15.588051441960541,2.149674925343151,1594.25355194688,0,33.50924294738912,23.466454624875563,70.02981797908997,0.0010423806544738775,0.0007299726144111519,1.502734375,,
63.237705749999826,1200,,,,-0.00673828125,-0.08427734375,-0.89111328125,0.010483301372997555,0.000897421707521479,15.685812917625679,0.9600384231645969,1105.6311745569599,0,15.058985136798464,11.590413648673024,76.96742903543603,0.00007743129084796324,0.00005955765126483934,0.59677734375,,
