23 0 0.010000 3.0225, -2.9363, 0.3992, 1.0000, 0.0000, 0.0000, 0.0000
23 1 0.040000 3.0225, -2.9363, 0.3920, 1.0000, 0.0000, 0.0000, 0.0000
23 2 0.070000 3.0225, -2.9363, 0.3759, 1.0000, 0.0000, 0.0000, 0.0000
23 3 0.110000 3.0225, -2.9363, 0.3408, 1.0000, 0.0000, 0.0000, 0.0000
23 4 0.140000 3.0225, -2.9363, 0.3042, 1.0000, 0.0000, 0.0000, 0.0000
23 5 0.170000 3.0225, -2.9363, 0.2587, 1.0000, 0.0000, 0.0000, 0.0000
23 6 0.200000 3.0225, -2.9363, 0.2046, 0.9998, -0.0188, 0.0056, 0.0001
23 7 0.240000 3.0230, -2.9349, 0.1324, 0.9939, -0.1041, 0.0369, -0.0010
23 8 0.270000 3.0249, -2.9293, 0.0909, 0.9879, -0.1463, 0.0520, -0.0016
23 9 0.310000 3.0310, -2.9123, 0.0532, 0.9827, -0.1748, 0.0619, -0.0022
23 10 0.340000 3.0380, -2.8927, 0.0342, 0.9818, -0.1792, 0.0627, -0.0024
23 11 0.370000 3.0466, -2.8683, 0.0188, 0.9816, -0.1814, 0.0597, -0.0019
23 12 0.400000 3.0565, -2.8403, 0.0042, 0.9844, -0.1688, 0.0495, -0.0008
23 13 0.440000 3.0708, -2.7989, -0.0179, 0.9862, -0.1611, 0.0381, 0.0007
23 14 0.470000 3.0821, -2.7655, -0.0378, 0.9868, -0.1596, 0.0279, 0.0021
23 15 0.500000 3.0937, -2.7301, -0.0605, 0.9895, -0.1433, 0.0169, 0.0035
23 16 0.540000 3.1096, -2.6795, -0.0929, 0.9919, -0.1266, 0.0016, 0.0056
23 17 0.570000 3.1216, -2.6388, -0.1171, 0.9930, -0.1177, -0.0094, 0.0074
23 18 0.610000 3.1372, -2.5809, -0.1480, 0.9947, -0.0996, -0.0221, 0.0096
23 19 0.640000 3.1483, -2.5351, -0.1693, 0.9963, -0.0792, -0.0321, 0.0117
23 20 0.670000 3.1588, -2.4875, -0.1888, 0.9963, -0.0751, -0.0408, 0.0132
23 21 0.700000 3.1683, -2.4383, -0.2058, 0.9972, -0.0561, -0.0476, 0.0155
23 22 0.740000 3.1791, -2.3706, -0.2244, 0.9974, -0.0458, -0.0536, 0.0176
23 23 0.770000 3.1858, -2.3184, -0.2347, 0.9972, -0.0453, -0.0562, 0.0187
23 24 0.800000 3.1910, -2.2652, -0.2415, 0.9978, -0.0268, -0.0566, 0.0204
23 25 0.840000 3.1957, -2.1931, -0.2446, 0.9982, -0.0103, -0.0541, 0.0223
23 26 0.870000 3.1976, -2.1387, -0.2422, 0.9984, -0.0085, -0.0507, 0.0231
23 27 0.900000 3.1982, -2.0841, -0.2356, 0.9986, 0.0153, -0.0443, 0.0251
23 28 0.940000 3.1971, -2.0119, -0.2202, 0.9986, 0.0276, -0.0360, 0.0268
23 29 0.970000 3.1953, -1.9584, -0.2043, 0.9989, 0.0244, -0.0295, 0.0278
23 30 1.000000 3.1928, -1.9055, -0.1857, 0.9986, 0.0387, -0.0220, 0.0296
23 31 1.040000 3.1888, -1.8361, -0.1592, 0.9985, 0.0437, -0.0136, 0.0315
23 32 1.070000 3.1855, -1.7848, -0.1396, 0.9984, 0.0455, -0.0084, 0.0327
23 33 1.110000 3.1809, -1.7178, -0.1146, 0.9978, 0.0558, -0.0020, 0.0344
23 34 1.140000 3.1775, -1.6685, -0.0968, 0.9969, 0.0697, 0.0030, 0.0356
23 35 1.170000 3.1742, -1.6204, -0.0798, 0.9970, 0.0677, 0.0072, 0.0367
23 36 1.210000 3.1700, -1.5580, -0.0580, 0.9965, 0.0737, 0.0124, 0.0379
23 37 1.240000 3.1672, -1.5127, -0.0423, 0.9957, 0.0821, 0.0162, 0.0386
23 38 1.270000 3.1647, -1.4688, -0.0268, 0.9960, 0.0773, 0.0193, 0.0392
23 39 1.310000 3.1620, -1.4124, -0.0064, 0.9958, 0.0789, 0.0238, 0.0398
23 40 1.340000 3.1605, -1.3718, 0.0090, 0.9952, 0.0853, 0.0268, 0.0398
23 41 1.370000 3.1596, -1.3326, 0.0247, 0.9957, 0.0788, 0.0291, 0.0399
23 42 1.410000 3.1593, -1.2828, 0.0461, 0.9957, 0.0772, 0.0318, 0.0396
