11 0 0.010000 2.1086, 0.5277, -0.8827, 0.9999, -0.0143, 0.0085, 0.0005
11 1 0.040000 2.1089, 0.5282, -0.8758, 0.9981, -0.0514, 0.0331, 0.0018
11 2 0.070000 2.1103, 0.5304, -0.8606, 0.9960, -0.0732, 0.0511, 0.0028
11 3 0.110000 2.1146, 0.5369, -0.8302, 0.9936, -0.0888, 0.0696, 0.0037
11 4 0.140000 2.1199, 0.5444, -0.8029, 0.9917, -0.0983, 0.0831, 0.0043
11 5 0.170000 2.1269, 0.5539, -0.7742, 0.9915, -0.0937, 0.0904, 0.0041
11 6 0.200000 2.1355, 0.5651, -0.7458, 0.9906, -0.0948, 0.0987, 0.0042
11 7 0.240000 2.1491, 0.5821, -0.7108, 0.9906, -0.0902, 0.1023, 0.0041
11 8 0.270000 2.1608, 0.5962, -0.6877, 0.9913, -0.0792, 0.1048, 0.0031
11 9 0.310000 2.1782, 0.6164, -0.6619, 0.9922, -0.0665, 0.1053, 0.0021
11 10 0.340000 2.1927, 0.6324, -0.6466, 0.9928, -0.0584, 0.1043, 0.0014
11 11 0.370000 2.2082, 0.6491, -0.6349, 0.9939, -0.0414, 0.1020, -0.0003
11 12 0.400000 2.2249, 0.6662, -0.6266, 0.9946, -0.0315, 0.0990, -0.0012
11 13 0.440000 2.2489, 0.6896, -0.6205, 0.9956, -0.0125, 0.0933, -0.0033
11 14 0.470000 2.2683, 0.7073, -0.6190, 0.9961, 0.0058, 0.0879, -0.0054
11 15 0.500000 2.2889, 0.7249, -0.6194, 0.9965, 0.0156, 0.0820, -0.0068
11 16 0.540000 2.3185, 0.7479, -0.6206, 0.9967, 0.0328, 0.0733, -0.0092
11 17 0.570000 2.3424, 0.7643, -0.6210, 0.9965, 0.0514, 0.0656, -0.0114
11 18 0.610000 2.3762, 0.7847, -0.6194, 0.9962, 0.0662, 0.0548, -0.0137
11 19 0.640000 2.4029, 0.7984, -0.6162, 0.9965, 0.0677, 0.0476, -0.0147
11 20 0.670000 2.4307, 0.8106, -0.6110, 0.9958, 0.0798, 0.0407, -0.0164
11 21 0.700000 2.4594, 0.8210, -0.6034, 0.9962, 0.0783, 0.0349, -0.0172
11 22 0.740000 2.4988, 0.8319, -0.5893, 0.9957, 0.0859, 0.0274, -0.0189
11 23 0.770000 2.5291, 0.8376, -0.5753, 0.9945, 0.1007, 0.0220, -0.0204
11 24 0.800000 2.5599, 0.8408, -0.5580, 0.9947, 0.0987, 0.0178, -0.0215
11 25 0.840000 2.6015, 0.8412, -0.5298, 0.9938, 0.1081, 0.0126, -0.0233
11 26 0.870000 2.6330, 0.8382, -0.5044, 0.9923, 0.1210, 0.0089, -0.0248
11 27 0.900000 2.6647, 0.8322, -0.4754, 0.9931, 0.1146, 0.0061, -0.0260
11 28 0.940000 2.7071, 0.8196, -0.4316, 0.9930, 0.1150, 0.0018, -0.0279
11 29 0.970000 2.7388, 0.8069, -0.3958, 0.9916, 0.1260, -0.0014, -0.0292
11 30 1.000000 2.7705, 0.7918, -0.3588, 0.9926, 0.1173, -0.0034, -0.0304
11 31 1.040000 2.8125, 0.7687, -0.3117, 0.9930, 0.1135, -0.0061, -0.0318
11 32 1.070000 2.8439, 0.7498, -0.2801, 0.9936, 0.1080, -0.0078, -0.0327
11 33 1.110000 2.8856, 0.7230, -0.2440, 0.9950, 0.0931, -0.0097, -0.0338
11 34 1.140000 2.9167, 0.7018, -0.2214, 0.9962, 0.0791, -0.0108, -0.0344
11 35 1.170000 2.9477, 0.6798, -0.2025, 0.9967, 0.0720, -0.0122, -0.0348
11 36 1.210000 2.9887, 0.6492, -0.1825, 0.9976, 0.0587, -0.0136, -0.0352
11 37 1.240000 3.0193, 0.6256, -0.1713, 0.9983, 0.0449, -0.0146, -0.0354
11 38 1.270000 3.0497, 0.6014, -0.1632, 0.9985, 0.0400, -0.0156, -0.0353
11 39 1.310000 3.0899, 0.5684, -0.1570, 0.9988, 0.0286, -0.0165, -0.0352
11 40 1.340000 3.1198, 0.5433, -0.1557, 0.9991, 0.0165, -0.0168, -0.0350
11 41 1.370000 3.1496, 0.5180, -0.1574, 0.9992, 0.0123, -0.0173, -0.0346
11 42 1.410000 3.1889, 0.4841, -0.1642, 0.9993, 0.0011, -0.0177, -0.0340
11 43 1.440000 3.2181, 0.4587, -0.1723, 0.9992, -0.0122, -0.0180, -0.0335
11 44 1.470000 3.2471, 0.4335, -0.1825, 0.9991, -0.0177, -0.0182, -0.0328
11 45 1.510000 3.2853, 0.4003, -0.1979, 0.9989, -0.0299, -0.0186, -0.0317
11 46 1.540000 3.3136, 0.3761, -0.2088, 0.9984, -0.0429, -0.0194, -0.0312
11 47 1.570000 3.3415, 0.3527, -0.2180, 0.9986, -0.0376, -0.0205, -0.0302
11 48 1.610000 3.3781, 0.3230, -0.2271, 0.9986, -0.0386, -0.0214, -0.0293
11 49 1.640000 3.4050, 0.3018, -0.2315, 0.9981, -0.0494, -0.0226, -0.0287
11 50 1.670000 3.4314, 0.2817, -0.2337, 0.9985, -0.0409, -0.0242, -0.0279
11 51 1.710000 3.4659, 0.2563, -0.2333, 0.9984, -0.0419, -0.0267, -0.0270
11 52 1.740000 3.4911, 0.2385, -0.2306, 0.9979, -0.0520, -0.0283, -0.0266
11 53 1.770000 3.5157, 0.2218, -0.2258, 0.9981, -0.0472, -0.0302, -0.0259
11 54 1.810000 3.5475, 0.2013, -0.2161, 0.9975, -0.0570, -0.0324, -0.0254
11 55 1.840000 3.5706, 0.1875, -0.2062, 0.9963, -0.0747, -0.0339, -0.0253
11 56 1.870000 3.5930, 0.1753, -0.1940, 0.9964, -0.0728, -0.0358, -0.0246
11 57 1.910000 3.6216, 0.1617, -0.1742, 0.9960, -0.0775, -0.0380, -0.0239
11 58 1.940000 3.6422, 0.1537, -0.1569, 0.9951, -0.0877, -0.0393, -0.0237
11 59 1.970000 3.6619, 0.1474, -0.1379, 0.9958, -0.0791, -0.0406, -0.0228
11 60 2.010000 3.6871, 0.1416, -0.1115, 0.9957, -0.0798, -0.0421, -0.0221
11 61 2.040000 3.7053, 0.1388, -0.0929, 0.9955, -0.0818, -0.0430, -0.0217
11 62 2.070000 3.7228, 0.1371, -0.0764, 0.9964, -0.0699, -0.0441, -0.0208
11 63 2.110000 3.7454, 0.1363, -0.0584, 0.9970, -0.0604, -0.0449, -0.0198
11 64 2.140000 3.7618, 0.1366, -0.0478, 0.9971, -0.0577, -0.0453, -0.0193
11 65 2.170000 3.7775, 0.1376, -0.0396, 0.9977, -0.0469, -0.0455, -0.0185
11 66 2.210000 3.7976, 0.1401, -0.0324, 0.9980, -0.0392, -0.0453, -0.0177
11 67 2.240000 3.8119, 0.1425, -0.0296, 0.9981, -0.0385, -0.0447, -0.0173
11 68 2.270000 3.8257, 0.1455, -0.0292, 0.9985, -0.0285, -0.0441, -0.0165
11 69 2.310000 3.8433, 0.1501, -0.0323, 0.9987, -0.0215, -0.0427, -0.0158
11 70 2.340000 3.8558, 0.1539, -0.0375, 0.9988, -0.0220, -0.0415, -0.0154
11 71 2.370000 3.8678, 0.1579, -0.0453, 0.9990, -0.0152, -0.0402, -0.0147
11 72 2.410000 3.8830, 0.1637, -0.0599, 0.9991, -0.0137, -0.0383, -0.0140
11 73 2.440000 3.8939, 0.1682, -0.0739, 0.9991, -0.0179, -0.0366, -0.0137
11 74 2.470000 3.9042, 0.1730, -0.0900, 0.9992, -0.0148, -0.0349, -0.0132
11 75 2.510000 3.9173, 0.1798, -0.1136, 0.9992, -0.0175, -0.0327, -0.0126
11 76 2.540000 3.9263, 0.1853, -0.1308, 0.9991, -0.0266, -0.0304, -0.0125
11 77 2.570000 3.9348, 0.1913, -0.1466, 0.9993, -0.0227, -0.0285, -0.0119
11 78 2.610000 3.9451, 0.2003, -0.1650, 0.9992, -0.0292, -0.0262, -0.0116
11 79 2.640000 3.9523, 0.2077, -0.1767, 0.9986, -0.0448, -0.0248, -0.0115
11 80 2.670000 3.9589, 0.2161, -0.1867, 0.9988, -0.0423, -0.0236, -0.0111
11 81 2.710000 3.9669, 0.2288, -0.1976, 0.9985, -0.0490, -0.0228, -0.0106
11 82 2.740000 3.9724, 0.2395, -0.2039, 0.9979, -0.0590, -0.0226, -0.0104
11 83 2.770000 3.9774, 0.2515, -0.2088, 0.9983, -0.0530, -0.0226, -0.0097
11 84 2.800000 3.9820, 0.2646, -0.2122, 0.9978, -0.0616, -0.0229, -0.0093
11 85 2.840000 3.9874, 0.2839, -0.2144, 0.9978, -0.0606, -0.0235, -0.0085
11 86 2.870000 3.9909, 0.2997, -0.2143, 0.9984, -0.0510, -0.0242, -0.0076
11 87 2.900000 3.9939, 0.3167, -0.2128, 0.9980, -0.0567, -0.0253, -0.0071
11 88 2.940000 3.9971, 0.3411, -0.2087, 0.9982, -0.0534, -0.0266, -0.0060
11 89 2.970000 3.9989, 0.3605, -0.2045, 0.9987, -0.0435, -0.0275, -0.0049
11 90 3.000000 4.0002, 0.3808, -0.2001, 0.9984, -0.0493, -0.0284, -0.0042
11 91 3.040000 4.0013, 0.4089, -0.1962, 0.9987, -0.0426, -0.0296, -0.0029
11 92 3.070000 4.0016, 0.4306, -0.1957, 0.9990, -0.0311, -0.0307, -0.0017
11 93 3.100000 4.0016, 0.4528, -0.1978, 0.9991, -0.0285, -0.0322, -0.0008
11 94 3.140000 4.0009, 0.4828, -0.2049, 0.9992, -0.0197, -0.0343, 0.0006
11 95 3.170000 4.0000, 0.5055, -0.2135, 0.9993, -0.0098, -0.0360, 0.0017
11 96 3.200000 3.9985, 0.5285, -0.2248, 0.9992, -0.0090, -0.0380, 0.0025
11 97 3.240000 3.9960, 0.5591, -0.2446, 0.9992, -0.0038, -0.0405, 0.0036
11 98 3.270000 3.9935, 0.5822, -0.2632, 0.9991, 0.0032, -0.0423, 0.0046
11 99 3.300000 3.9906, 0.6052, -0.2852, 0.9990, 0.0019, -0.0443, 0.0052
11 100 3.340000 3.9860, 0.6359, -0.3204, 0.9989, 0.0046, -0.0469, 0.0063
11 101 3.370000 3.9820, 0.6588, -0.3518, 0.9987, 0.0092, -0.0487, 0.0072
