85 0 0.010000 3.4564, 2.4134, -0.3462, 0.9998, 0.0178, -0.0049, -0.0000
85 1 0.040000 3.4562, 2.4127, -0.3370, 0.9976, 0.0667, -0.0161, 0.0002
85 2 0.070000 3.4555, 2.4098, -0.3197, 0.9947, 0.1003, -0.0209, 0.0004
85 3 0.110000 3.4537, 2.4016, -0.2889, 0.9908, 0.1334, -0.0223, 0.0011
85 4 0.140000 3.4517, 2.3920, -0.2632, 0.9882, 0.1521, -0.0199, 0.0021
85 5 0.170000 3.4494, 2.3796, -0.2374, 0.9873, 0.1584, -0.0133, 0.0035
85 6 0.200000 3.4468, 2.3647, -0.2127, 0.9854, 0.1699, -0.0087, 0.0046
85 7 0.240000 3.4433, 2.3412, -0.1833, 0.9842, 0.1768, 0.0005, 0.0066
85 8 0.270000 3.4406, 2.3212, -0.1649, 0.9841, 0.1773, 0.0058, 0.0075
85 9 0.310000 3.4372, 2.2914, -0.1460, 0.9839, 0.1780, 0.0126, 0.0092
85 10 0.340000 3.4348, 2.2670, -0.1366, 0.9833, 0.1810, 0.0177, 0.0104
85 11 0.370000 3.4326, 2.2408, -0.1314, 0.9845, 0.1736, 0.0225, 0.0118
85 12 0.400000 3.4306, 2.2130, -0.1305, 0.9847, 0.1715, 0.0269, 0.0130
85 13 0.440000 3.4284, 2.1732, -0.1355, 0.9863, 0.1611, 0.0319, 0.0148
85 14 0.470000 3.4273, 2.1413, -0.1432, 0.9882, 0.1481, 0.0350, 0.0162
85 15 0.500000 3.4266, 2.1073, -0.1531, 0.9892, 0.1404, 0.0372, 0.0174
85 16 0.540000 3.4268, 2.0582, -0.1662, 0.9912, 0.1248, 0.0401, 0.0190
85 17 0.570000 3.4281, 2.0182, -0.1741, 0.9930, 0.1081, 0.0422, 0.0204
85 18 0.610000 3.4313, 1.9608, -0.1803, 0.9941, 0.0974, 0.0424, 0.0215
85 19 0.640000 3.4351, 1.9148, -0.1812, 0.9939, 0.0991, 0.0422, 0.0219
85 20 0.670000 3.4400, 1.8664, -0.1784, 0.9959, 0.0782, 0.0402, 0.0228
85 21 0.700000 3.4459, 1.8159, -0.1715, 0.9961, 0.0760, 0.0378, 0.0230
85 22 0.740000 3.4555, 1.7457, -0.1554, 0.9975, 0.0582, 0.0335, 0.0236
85 23 0.770000 3.4638, 1.6913, -0.1375, 0.9988, 0.0328, 0.0273, 0.0243
85 24 0.800000 3.4730, 1.6358, -0.1142, 0.9989, 0.0318, 0.0227, 0.0243
85 25 0.840000 3.4861, 1.5607, -0.0742, 0.9995, 0.0125, 0.0132, 0.0246
