Time (s),ESC signal (µs),Servo 1 (µs),Servo 2 (µs),Servo 3 (µs),AccX (g),AccY (g),AccZ (g),Torque (N·m),Thrust (kgf),Voltage (V),Current (A),Motor Electrical Speed (rad/s),Motor Optical Speed (rad/s),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (kgf/W),Overall Efficiency (kgf/W),Vibration (g),App message,
20.26588299999996,1528.6753499999802,,,,-0.03447265625,0.04677734375,-1.03291015625,0.022890568879819582,0.142241280819943,15.687922650715672,7.303386021071768,2602.0764752217597,0,114.56444900683664,59.607953434161956,52.015638244304014,0.0023891858975815623,0.0012423820046617668,1.03701171875,,
20.765912249999865,1478.6550749999856,,,,-0.0845703125,0.0896484375,-0.85205078125,0.019937816410323307,0.12361223111850823,15.775123716186986,6.031880144655018,2395.77855763536,0,95.14550842729405,47.81280379893899,50.21612494874119,0.0025921805433422925,0.0013003125293830336,1.10546875,,
21.265263750000067,1428.7280499999838,,,,-0.0619140625,0.02421875,-1.00185546875,0.016531955009468642,0.10467981761275673,15.856586985657014,4.951650182203546,2202.98948845944,0,78.51066857750777,36.47153642345904,46.388382362115735,0.0028778947341259907,0.0013333686211480416,1.11396484375,,
21.76663475000006,1378.6195499999826,,,,-0.021484375,0.07265625,-0.95263671875,0.014022000258808018,0.08606982937654481,15.92130764017964,4.16228359838664,1983.18272246256,0,66.266303649218,27.85270420878076,41.96514902290696,0.0030966250442706752,0.0012977172388859905,0.8892578125,,
22.267048999999933,1328.5410249999813,,,,-0.05908203125,0.0052734375,-0.97275390625,0.011553398062547165,0.06894334176948587,15.977898576492612,3.479399350553815,1768.4025047114399,0,55.586556638903446,20.467774360816552,36.82960246416476,0.0033782466149816517,0.001243543428667808,0.7857421875,,
22.765640999999967,1278.6938249999846,,,,-0.06533203125,-0.015625,-0.97265625,0.009473511459148272,0.0557380944923753,16.059534284524638,2.314349090000665,1566.0839378196,0,37.16142892930108,14.878221802213588,40.084228649981696,0.0037685197108154747,0.001510401424918058,0.86455078125,,
23.265728499999977,1228.6895499999878,,,,-0.07353515625,0.053515625,-0.988671875,0.007141792399917052,0.042412901010635204,16.121053202968064,1.5622833916265102,1316.43204161352,0,25.18316198646854,9.44613499936012,37.38576903508873,0.004525724435562554,0.0016860754980172299,0.84345703125,,
23.767767750000026,1178.5181749999879,,,,-0.08603515625,0.028125,-0.96337890625,0.005229247571051533,0.029508474368607963,16.168324478565218,1.0121735868683015,1059.03088352856,0,16.362974246218464,5.592401995551995,33.95358294866359,0.005398454905396234,0.0018186169232083898,0.733984375,,
24.271106250000052,1128.1557499999917,,,,-0.0859375,-0.02392578125,-0.99150390625,0.003089015197128596,0.01759832769688687,16.20947304902377,0.5541962844824367,745.2904971890399,0,8.982137864204859,2.3387200884993837,25.71253958551342,0.007642734196253031,0.001950120074677722,0.677734375,,
24.76875975000011,1078.3750749999876,,,,-0.04853515625,0.0181640625,-0.9732421875,0.0018134547233607235,0.008847647839414047,16.244481534672794,0.2619965038809699,483.28166987879996,0,4.255359832028179,0.8815186270345927,20.99289361932065,0.009990905536182489,0.002075140148114776,0.55224609375,,
25.265811499999927,1028.682274999992,,,,-0.05791015625,0.04501953125,-0.96630859375,0.0007569143858273834,0.0030886491176482884,16.27198353098658,0.0890068701445408,47.123889803999994,0,1.4481088421278372,0.06238195369557831,2.6277368470109157,0.0008104562307764055,0.00021221799748902042,0.360546875,,
25.76463249999997,1000.107324999999,,,,-0.0625,0.04033203125,-0.96494140625,0.0006642233711045917,0.0010492990743782983,16.290572029560895,0.04750870111979972,0,0,0.7739462589011368,0,0,0,0,0.2009765625,,
26.264329749999945,1000,,,,-0.0625,0.04052734375,-0.96484375,0.0008726505423492563,0.0007131090613825775,16.305480189479844,0.0472335644511163,0,0,0.7701636197929019,0,0,0,0,0.12373046875,,
26.765153750000145,1000,,,,-0.0625,0.040625,-0.96474609375,0.0008889047254214491,0.0009252437499823706,16.317772777541233,0.04210597877981314,0,0,0.6870748176633247,0,0,0,0,0.08818359375,,
27.26550699999985,1000,,,,-0.0625,0.04033203125,-0.9654296875,0.0009400270093340324,0.0008681330982124128,16.32945243035437,0.04481883859399632,0,0,0.7318707652406355,0,0,0,0,0.07177734375,,
27.765431749999937,1021.1679000000051,,,,-0.0625,0.04052734375,-0.96552734375,0.0008789725503759171,0.0010308358413431496,16.33982435938677,0.04655819184849145,0,0,0.7607526881872959,0,0,0,0,0.0642578125,,
28.266479500000134,1071.0893750000012,,,,-0.0560546875,0.04287109375,-0.97666015625,0.0010265646327967206,0.0015796529181751721,16.345935483131687,0.12088932050430028,0,0,1.9760766174946667,0,0,0,0,0.0931640625,,
28.764834000000043,1120.9286500000028,,,,-0.08466796875,0.046875,-0.9802734375,0.0018544138598353237,0.004223694297359582,16.345691541086317,0.3071194798167419,390.70940635271995,0,5.020001297101891,0.8242630752724434,14.022074079460277,0.0038704402856342608,0.0005591540210439216,0.2044921875,,
29.265756250000003,1171.0006,,,,-0.0443359375,0.04189453125,-0.98671875,0.0028386407932607925,0.01009435653455442,16.338394700670058,0.6135529495775737,905.9306015431199,0,10.024144409594161,2.598914542148573,25.780603222103565,0.0038776251570138516,0.0009973750378733585,0.405859375,,
29.7669504999999,1221.1435250000045,,,,-0.1341796875,0.04736328125,-0.96943359375,0.0043113505557515796,0.019520140839957918,16.322249237909556,1.064156233238953,1194.6429664089599,0,17.36860066608572,5.197939618706348,29.686734096496007,0.003797885117277063,0.001119685872027784,0.51513671875,,
30.26615650000009,1271.0382750000003,,,,-0.06767578125,0.0458984375,-0.98017578125,0.006108660515126895,0.03147810817656935,16.29854011124891,1.611815145057654,1467.75208776192,0,26.268781588638767,9.005707872809566,34.17724381307631,0.0035104645743006396,0.0011977216266440946,0.6169921875,,
30.767529750000175,1321.203699999999,,,,-0.10615234375,0.11025390625,-0.9560546875,0.008162368876151679,0.044866375543108135,16.25738461806034,2.421510974575303,1706.7225689457598,0,39.361835030076456,13.967096530586923,35.59888126500514,0.003219136955077727,0.0011450003273376368,0.8169921875,,
31.266843499999954,1371.1238249999997,,,,-0.04736328125,0.021875,-0.9794921875,0.010355964615983485,0.0590605433452463,16.19892978236079,3.4889216860806878,1912.3921680014398,0,56.51348507919151,19.84319009523766,35.05571559534788,0.0029849436171843625,0.0010450282818563685,0.76708984375,,
31.765391999999984,1420.9797750000077,,,,-0.06015625,0.035546875,-0.9806640625,0.012877011649881188,0.07633925641345314,16.15539440673789,4.236655538420055,2148.63993555216,0,68.44201623261603,27.725389535059556,40.41220446008729,0.0027644677804203816,0.001114619130543026,0.68388671875,,
32.26612200000011,1471.0439749999998,,,,-0.02939453125,0.055859375,-0.88095703125,0.015519070222535883,0.09491181637636785,16.103072561573832,5.151157433283254,2357.66056677168,0,82.94381401576567,36.61299823549256,44.16645710862254,0.002593533720121512,0.0011442774144067836,0.86484375,,
32.76645525000016,1521.0852500000008,,,,-0.04306640625,0.07548828125,-0.9677734375,0.017937376475065887,0.11357192951327973,16.031515317051497,6.353820677811177,2586.68267121912,0,101.85334023695707,46.451869001759164,45.55469445039573,0.002451245088499131,0.0011155986487808567,0.9166015625,,
33.265715250000085,1571.010025000001,,,,-0.06103515625,-0.01357421875,-0.9869140625,0.021069104762318096,0.13346390825064508,15.949512753517192,7.679303478139934,2784.1841293754396,0,122.47102551214577,58.70569643738867,47.91175784896434,0.0022766812578757976,0.0010902939502127622,0.85029296875,,
