timestamp,timestamp_sample,control[0],control[1],control[2],control[3],control[4],control[5],control[6],control[7]
317891532,317891181,0.00094059645,-0.005602566,0.0007688401,0.0,0.0,0.0,0.0,-1.0
317892807,317892484,0.00043551959,-0.0057573034,-0.0023828573,0.0,0.0,0.0,0.0,-1.0
317895303,317894960,-0.0004390248,-0.0059124045,-0.0063961805,0.0,0.0,0.0,0.0,-1.0
317897803,317897465,-0.0003893176,-0.0058495975,-0.0054224725,0.0,0.0,0.0,0.0,-1.0
317901679,317901254,0.0021567445,-0.0053261113,-5.7867146e-05,0.0,0.0,0.0,0.0,-1.0
317909175,317908806,-0.0001039495,-0.005426606,0.0016142086,0.0,0.0,0.0,0.0,-1.0
318010579,318010219,0.00042958377,-0.0059664627,0.00038522336,0.0,0.0,0.0,0.0,-1.0
318013129,318012757,-8.5482425e-05,-0.0076588523,0.0006307756,0.0,0.0,0.0,0.0,-1.0
318018159,318017830,0.0007917574,-0.007109611,-0.00043383808,0.0,0.0,0.0,0.0,-1.0
318020731,318020384,0.00178924,-0.0047973986,-0.0011439938,0.0,0.0,0.0,0.0,-1.0
318024621,318024179,0.0017383624,-0.0017375577,-0.001142501,0.0,0.0,0.0,0.0,-1.0
318027034,318026710,0.00081011,-0.0019361756,-0.00015991229,0.0,0.0,0.0,0.0,-1.0
318030893,318030524,-0.0002062772,-0.0059167887,0.0004950868,0.0,0.0,0.0,0.0,-1.0
318034668,318034323,-0.00052898144,-0.009735669,0.00014338974,0.0,0.0,0.0,0.0,-1.0
318038451,318038129,0.001416845,-0.008310083,-0.00044675867,0.0,0.0,0.0,0.0,-1.0
318041018,318040679,0.002228257,-0.0047823517,-0.0010914933,0.0,0.0,0.0,0.0,-1.0
318044833,318044470,0.0018444423,-0.0008831878,-0.000458115,0.0,0.0,0.0,0.0,-1.0
318048643,318048314,0.0006473938,-0.0025976184,-7.098587e-05,0.0,0.0,0.0,0.0,-1.0
318052428,318052084,0.00022779989,-0.007826189,0.0006608378,0.0,0.0,0.0,0.0,-1.0
318055228,318054841,-0.00012160305,-0.00993341,5.3572883e-05,0.0,0.0,0.0,0.0,-1.0
318058939,318058616,0.0007173834,-0.007899238,-0.00062656717,0.0,0.0,0.0,0.0,-1.0
318062797,318062421,0.0016714409,-0.0029451936,-0.0011596364,0.0,0.0,0.0,0.0,-1.0
318067687,318067365,0.00038836707,-0.0019075949,0.00022925882,0.0,0.0,0.0,0.0,-1.0
318068984,318068614,8.885965e-05,-0.0027680467,0.00024639818,0.0,0.0,0.0,0.0,-1.0
318072714,318072389,0.00029832355,-0.0071527413,0.0001764799,0.0,0.0,0.0,0.0,-1.0
318077783,318077459,0.0012247759,-0.008398055,-0.0004519994,0.0,0.0,0.0,0.0,-1.0
318080418,318080002,0.0012887086,-0.0062687597,-0.0009900727,0.0,0.0,0.0,0.0,-1.0
318084132,318083798,0.0005641046,-0.003090291,-0.0013139743,0.0,0.0,0.0,0.0,-1.0
318089257,318088880,0.00036612788,-0.003661359,0.0009287445,0.0,0.0,0.0,0.0,-1.0
318090500,318090150,0.00057721126,-0.0045015984,0.0012685622,0.0,0.0,0.0,0.0,-1.0
318094303,318093949,0.0007642618,-0.0070961877,0.0008228565,0.0,0.0,0.0,0.0,-1.0
318099370,318099023,0.0012200931,-0.007149591,-0.0018341376,0.0,0.0,0.0,0.0,-1.0
318100648,318100300,0.0011693359,-0.0065223514,-0.0022768837,0.0,0.0,0.0,0.0,-1.0
318104425,318104104,0.0005581195,-0.0043914015,-0.0014381367,0.0,0.0,0.0,0.0,-1.0
318108227,318107902,0.00012306798,-0.0037939313,0.0010416893,0.0,0.0,0.0,0.0,-1.0
318113307,318112978,0.0009484551,-0.0048171943,0.0011761598,0.0,0.0,0.0,0.0,-1.0
318114613,318114247,0.001310534,-0.0053893374,0.0008393048,0.0,0.0,0.0,0.0,-1.0
318118457,318118063,0.0017037692,-0.0067698457,-0.0013133064,0.0,0.0,0.0,0.0,-1.0
318124720,318124396,0.00017109474,-0.005500633,-0.0013360085,0.0,0.0,0.0,0.0,-1.0
318126071,318125679,-0.00022343779,-0.0049205953,-0.0006411776,0.0,0.0,0.0,0.0,-1.0
318128615,318128207,-0.000465398,-0.004099908,0.0010488086,0.0,0.0,0.0,0.0,-1.0
318134882,318134552,0.001535284,-0.004907614,0.0010216221,0.0,0.0,0.0,0.0,-1.0
318136222,318135832,0.0017520974,-0.0055238293,0.000101701065,0.0,0.0,0.0,0.0,-1.0
318140276,318139840,0.001940786,-0.0071828407,-0.0025392403,0.0,0.0,0.0,0.0,-1.0
318142693,318142361,0.0010457198,-0.0072279596,-0.0025012076,0.0,0.0,0.0,0.0,-1.0
318146384,318146060,-0.00066480506,-0.005579607,-6.833327e-05,0.0,0.0,0.0,0.0,-1.0
318150274,318149906,-0.00031005166,-0.0029020207,0.0015741339,0.0,0.0,0.0,0.0,-1.0
318153901,318153580,0.0008443853,-0.0035477977,0.001572942,0.0,0.0,0.0,0.0,-1.0
318156487,318156116,0.0017819898,-0.0052059316,-6.0601895e-05,0.0,0.0,0.0,0.0,-1.0
318160269,318159938,0.0024243651,-0.007688686,-0.0021370824,0.0,0.0,0.0,0.0,-1.0
318164099,318163725,0.0009822128,-0.0075484132,-0.001972703,0.0,0.0,0.0,0.0,-1.0
318169155,318168802,-0.0014195633,-0.003152813,0.0013844314,0.0,0.0,0.0,0.0,-1.0
318171749,318171337,-0.0011880974,-0.0026030862,0.0022511675,0.0,0.0,0.0,0.0,-1.0
318174196,318173873,0.00036143215,-0.0037098322,0.0018412842,0.0,0.0,0.0,0.0,-1.0
318179286,318178948,0.00313595,-0.0077444594,-0.002231194,0.0,0.0,0.0,0.0,-1.0
318181834,318181507,0.0022925984,-0.008196787,-0.0030436756,0.0,0.0,0.0,0.0,-1.0
318185635,318185303,0.00022150563,-0.005560735,-0.0012738364,0.0,0.0,0.0,0.0,-1.0
318190758,318190371,-0.0010520339,-0.001867487,0.0017177233,0.0,0.0,0.0,0.0,-1.0
318191965,318191635,-0.00072623166,-0.0022048007,0.0019658802,0.0,0.0,0.0,0.0,-1.0
318195765,318195441,0.0011237197,-0.0057946863,0.0005908031,0.0,0.0,0.0,0.0,-1.0
318199621,318199246,0.0027274878,-0.0088092135,-0.0016583689,0.0,0.0,0.0,0.0,-1.0
318202142,318201785,0.0024255242,-0.007964296,-0.0024372393,0.0,0.0,0.0,0.0,-1.0
318205926,318205592,0.00038169566,-0.0038815814,-0.0011720601,0.0,0.0,0.0,0.0,-1.0
318209728,318209395,-0.0011199772,-0.00238575,0.00082898786,0.0,0.0,0.0,0.0,-1.0
318213529,318213200,-0.0003241761,-0.004976453,0.0018857525,0.0,0.0,0.0,0.0,-1.0
318216064,318215737,0.00094849087,-0.0073215687,0.0011340653,0.0,0.0,0.0,0.0,-1.0
318221362,318221036,0.0027323386,-0.007041409,-0.0015742676,0.0,0.0,0.0,0.0,-1.0
318223913,318223576,0.002431862,-0.004675279,-0.0021035552,0.0,0.0,0.0,0.0,-1.0
318227713,318227333,-9.834027e-07,-0.0024584446,-0.0015292647,0.0,0.0,0.0,0.0,-1.0
318230094,318229765,-0.0013737596,-0.0035301663,0.00063943915,0.0,0.0,0.0,0.0,-1.0
318233886,318233552,-0.00061602093,-0.0068406845,0.0015137562,0.0,0.0,0.0,0.0,-1.0
318237684,318237306,0.0017557616,-0.0083908085,0.0006859337,0.0,0.0,0.0,0.0,-1.0
318241454,318241114,0.0027293293,-0.005168141,-0.0015547711,0.0,0.0,0.0,0.0,-1.0
318245257,318244924,0.0012587243,-0.0020042825,-0.001638071,0.0,0.0,0.0,0.0,-1.0
318247775,318247453,6.918351e-05,-0.0026902282,-0.0011422624,0.0,0.0,0.0,0.0,-1.0
318251631,318251284,-0.0008357768,-0.006296601,0.0005857059,0.0,0.0,0.0,0.0,-1.0
318255403,318255074,-5.0878203e-05,-0.00877245,0.0017135155,0.0,0.0,0.0,0.0,-1.0
318257994,318257613,0.00081164594,-0.0077180234,0.0007367592,0.0,0.0,0.0,0.0,-1.0
318263003,318262679,0.0020984504,-0.0024946271,-0.0022652596,0.0,0.0,0.0,0.0,-1.0
318265547,318265217,0.0016471852,-0.0018376695,-0.002496833,0.0,0.0,0.0,0.0,-1.0
318271884,318271559,-0.00037406365,-0.007944767,0.0015019035,0.0,0.0,0.0,0.0,-1.0
318273162,318272829,-0.00045380965,-0.008801725,0.001698127,0.0,0.0,0.0,0.0,-1.0
318275687,318275366,1.6794453e-05,-0.008537795,0.0016429564,0.0,0.0,0.0,0.0,-1.0
318280785,318280439,0.0012759883,-0.0033029013,-0.0011521493,0.0,0.0,0.0,0.0,-1.0
318283389,318282996,0.0017849718,-0.0019110049,-0.0015679343,0.0,0.0,0.0,0.0,-1.0
318287182,318286788,0.0012517987,-0.0036461016,-0.0011681392,0.0,0.0,0.0,0.0,-1.0
318292192,318291857,0.0003925041,-0.008475328,0.0014018713,0.0,0.0,0.0,0.0,-1.0
318293456,318293128,0.00034526794,-0.008613234,0.0012904182,0.0,0.0,0.0,0.0,-1.0
318297252,318296930,-9.636926e-05,-0.0066554314,0.0002826906,0.0,0.0,0.0,0.0,-1.0
318301256,318300900,0.0007225449,-0.0028243046,-0.0010724649,0.0,0.0,0.0,0.0,-1.0
318303797,318303475,0.0014887792,-0.0019326329,-0.001535785,0.0,0.0,0.0,0.0,-1.0
318307569,318307235,0.0014492634,-0.0046087033,-0.00051216,0.0,0.0,0.0,0.0,-1.0
318311326,318310971,0.0006297439,-0.008035004,0.0006231502,0.0,0.0,0.0,0.0,-1.0
318316312,318315970,-0.0004405184,-0.006685648,-0.0005147845,0.0,0.0,0.0,0.0,-1.0
318317618,318317286,-0.0005668856,-0.005704906,-0.00080369145,0.0,0.0,0.0,0.0,-1.0
318321395,318321038,0.0003376337,-0.0033376855,-0.0013763768,0.0,0.0,0.0,0.0,-1.0
318328973,318328648,0.0020146184,-0.006142577,0.0007890885,0.0,0.0,0.0,0.0,-1.0
318331538,318331190,0.0010682725,-0.0071045174,0.0006224871,0.0,0.0,0.0,0.0,-1.0
318336584,318336260,-0.0010268408,-0.00624632,-0.0013103302,0.0,0.0,0.0,0.0,-1.0
318339131,318338796,-0.0005004815,-0.0049483003,-0.0015731028,0.0,0.0,0.0,0.0,-1.0
318342972,318342604,0.0010941979,-0.0034049551,-0.00030404978,0.0,0.0,0.0,0.0,-1.0
318348010,318347681,0.0019126596,-0.004568431,0.0016511368,0.0,0.0,0.0,0.0,-1.0
318349334,318348953,0.0016060121,-0.0051675625,0.001677854,0.0,0.0,0.0,0.0,-1.0
318353110,318352754,8.970574e-05,-0.006574717,-0.00024946072,0.0,0.0,0.0,0.0,-1.0
318356882,318356558,-0.0004426431,-0.006500879,-0.0016410357,0.0,0.0,0.0,0.0,-1.0
318359500,318359102,0.00037956267,-0.005910177,-0.0019763333,0.0,0.0,0.0,0.0,-1.0
318363316,318362909,0.0016325611,-0.004848971,0.00030169787,0.0,0.0,0.0,0.0,-1.0
318368318,318367976,0.0010989748,-0.0036428436,0.0016109049,0.0,0.0,0.0,0.0,-1.0
318370869,318370512,0.00019551933,-0.0039568553,0.00053825043,0.0,0.0,0.0,0.0,-1.0
318374678,318374321,0.00022610652,-0.006054939,-0.0019335615,0.0,0.0,0.0,0.0,-1.0
