timestamp,x,y,z,yaw,yawspeed,vx,vy,vz,acceleration[0],acceleration[1],acceleration[2],jerk[0],jerk[1],jerk[2],thrust[0],thrust[1],thrust[2]
320785994,nan,nan,nan,1.6285051,0.0,nan,nan,nan,0.0,0.0,100.0,0.0,0.0,0.0,-0.0,-0.0,-0.001
321892259,nan,nan,nan,1.6283027,0.0,nan,nan,nan,0.0,0.0,100.0,0.0,0.0,0.0,-0.0,-0.0,-0.001
322085079,-0.018308848,0.013006784,-1.0,1.5707964,0.0,0.0063183876,-0.0011173217,0.59777015,0.018712733,-0.008604231,8.849871,0.0,0.0,0.0,8.4899184e-05,-3.9037175e-05,-0.043903954
322272830,-0.018308848,0.013006784,-1.0,1.5707964,0.0,0.0058528706,-0.0012354897,0.35887444,0.0124061,-0.008959797,6.291816,0.0,0.0,0.0,0.00020687762,-0.0001494089,-0.16128598
322374328,-0.018308848,0.013006784,-1.0,1.5707964,0.0,0.0055152923,-0.0013331054,0.22972767,0.012054114,-0.006952255,4.941616,0.0,0.0,0.0,0.00026707657,-0.0001540374,-0.22324292
322587455,-0.018308848,0.013006784,-1.0,1.5707964,0.0,0.005566218,0.0014145914,-0.0414566,0.050257083,0.06682148,4.390224,0.0,0.0,0.0,0.0012750388,0.001695283,-0.24854478
322688947,-0.018308848,0.013006784,-1.0,1.5707964,0.0,0.0061136065,0.0059167533,-0.17059572,0.056986257,0.07586404,3.3955188,0.0,0.0,0.0,0.0017092802,0.0022755119,-0.29418904
322790428,-0.018308848,0.013006784,-1.0,1.5707964,0.0,0.006924768,0.010483471,-0.29972082,0.05356335,0.037273593,3.1822042,0.0,0.0,0.0,0.0016615827,0.00115626,-0.30397746
322887101,-0.018308848,0.013006784,-1.0,1.5707964,0.0,0.0076958863,0.014951382,-0.4227282,0.0110610025,0.07665288,2.8768926,0.0,0.0,0.0,0.0003589481,0.0024875144,-0.31798735
323272503,-0.018308848,0.013006784,-1.0,1.5707964,0.0,0.0062373513,0.034404214,-0.5312393,-0.006860745,0.120951146,3.483025,0.0,0.0,0.0,-0.00020308419,0.003580262,-0.29017362
323374230,-0.018308848,0.013006784,-1.0,1.5707964,0.0,0.0038886275,0.03842186,-0.46686804,-0.012177865,0.13958679,3.4692938,0.0,0.0,0.0,-0.00036098866,0.0041377735,-0.2908037
324388878,-0.018308848,0.013006784,-1.0,1.5707964,0.0,-0.0065011424,-0.06026091,-0.26491493,0.026152406,-0.2293696,3.0383377,0.0,0.0,0.0,0.0008282755,-0.0072643873,-0.3105791
324571559,-0.018308848,0.013006784,-1.0,1.5707964,0.0,-0.0010476876,-0.075558655,-0.2572695,0.016533894,-0.16373788,3.016876,0.0,0.0,0.0,0.0005253044,-0.0052021765,-0.3115639
324673043,-0.018308848,0.013006784,-1.0,1.5707964,0.0,0.00250204,-0.07924816,-0.252743,0.039925896,-0.15545556,2.9527426,0.0,0.0,0.0,0.001280298,-0.0049849707,-0.31450683
324789754,-0.018308848,0.013006784,-1.0,1.5707964,0.0,0.0065409103,-0.07969869,-0.24923342,0.027411124,-0.1452054,2.970645,0.0,0.0,0.0,0.00087671867,-0.004644256,-0.31368533
324891238,-0.018308848,0.013006784,-1.0,1.5707964,0.0,0.009468497,-0.07705877,-0.24486125,0.037300527,-0.13447474,3.03303,0.0,0.0,0.0,0.0011820834,-0.0042616115,-0.31082264
324972429,-0.018308848,0.013006784,-1.0,1.5707964,0.0,0.0115221245,-0.07282773,-0.2415151,0.02083117,-0.08674714,3.086872,0.0,0.0,0.0,0.0006549065,-0.0027272243,-0.308352
325073912,-0.018308848,0.013006784,-1.0,1.5707964,0.0,0.013876596,-0.064523526,-0.23768604,0.03439276,-0.059805267,2.9005475,0.0,0.0,0.0,0.00111255,-0.0019346032,-0.3169019
325185626,-0.018308848,0.013006784,-1.0,1.5707964,0.0,0.015952602,-0.052987598,-0.23348862,0.031140467,-0.028569514,3.2584903,0.0,0.0,0.0,0.00095175696,-0.0008731799,-0.3004769
325287034,-0.018308848,0.013006784,-1.0,1.5707964,0.0,0.016885903,-0.040561035,-0.22943246,0.036057655,0.034249365,2.9509437,0.0,0.0,0.0,0.0011574449,0.001099399,-0.31458935
325388520,-0.018308848,0.013006784,-1.0,1.5707964,0.0,0.016999047,-0.026708845,-0.23084259,0.028646413,0.05794038,2.8019938,0.0,0.0,0.0,0.00093969866,0.0019006392,-0.32142425
325469709,-0.018308848,0.013006784,-1.0,1.5707964,0.0,0.016343035,-0.015931211,-0.22892314,-0.0016054083,0.056463078,3.0335493,0.0,0.0,0.0,-5.0760416e-05,0.0017852713,-0.31079882
325586656,-0.018308848,0.013006784,-1.0,1.5707964,0.0,0.014147183,-0.0016945093,-0.22760135,-0.007080597,0.06272817,2.8303928,0.0,0.0,0.0,-0.00023093986,0.0020459339,-0.3201211
325687915,-0.018308848,0.013006784,-1.0,1.5707964,0.0,0.011337563,0.009950049,-0.22466063,-0.025425302,0.12834218,3.0017703,0.0,0.0,0.0,-0.0008095875,0.0040866463,-0.31225708
325789392,-0.018308848,0.013006784,-1.0,1.5707964,0.0,0.008077917,0.020587768,-0.2212395,-0.0067292135,0.11494249,3.05906,0.0,0.0,0.0,-0.00021244067,0.0036287238,-0.3096282
325890881,-0.018308848,0.013006784,-1.0,1.5707964,0.0,0.005327247,0.029677564,-0.21824318,-0.0067477585,0.10949492,2.9965267,0.0,0.0,0.0,-0.00021495743,0.0034880831,-0.31249768
