timestamp,accel_device_id,gyro_device_id,accel_clipping[0],accel_clipping[1],accel_clipping[2],accel_error_count,gyro_error_count,accel_vibration_metric,gyro_vibration_metric,gyro_coning_vibration,accel_rate_hz,gyro_rate_hz
317838248,3670026,3670026,0,0,0,0,0,0.00056791684,8.235567e-06,3.5941988e-10,789,789
318853357,3670026,3670026,0,0,0,0,0,0.0014362674,6.2169915e-05,3.1737675e-09,789,789
321796524,3670026,3670026,0,0,0,0,0,0.0015664378,7.7578654e-05,3.870039e-09,789,789
322811646,3670026,3670026,0,0,0,0,0,0.0093557285,0.00021316804,1.3964993e-07,789,789
324841252,3670026,3670026,0,0,0,0,0,0.008063286,0.00021379936,4.1346215e-08,789,789
325855956,3670026,3670026,0,0,0,0,0,0.009152633,0.00021827842,7.907221e-08,789,789
326870850,3670026,3670026,0,0,0,0,0,0.012529095,0.00023774443,1.16896196e-07,789,789
327885908,3670026,3670026,0,0,0,0,0,0.011627257,0.00028919993,1.6300986e-07,789,789
328798950,3670026,3670026,0,0,0,0,0,0.0115860775,0.00022173159,1.0760516e-07,789,789
329813795,3670026,3670026,0,0,0,0,0,0.010923214,0.00019706484,7.25409e-08,789,789
331843478,3670026,3670026,0,0,0,0,0,0.011024152,0.00019656419,6.00247e-08,789,789
332858212,3670026,3670026,0,0,0,0,0,0.009233073,0.00017512139,3.979796e-08,789,789
334887784,3670026,3670026,0,0,0,0,0,0.009944667,0.00016977768,4.4259767e-08,789,789
336815983,3670026,3670026,0,0,0,0,0,0.011228395,0.00018294576,5.6336603e-08,789,789
337830593,3670026,3670026,0,0,0,0,0,0.008511973,0.00016389099,4.8977686e-08,789,789
338845392,3670026,3670026,0,0,0,0,0,0.007400362,0.00019623605,4.7328225e-08,789,789
342802762,3670026,3670026,0,0,0,0,0,0.009383068,0.00018508792,5.8385865e-08,789,789
343817859,3670026,3670026,0,0,0,0,0,0.008473236,0.00021264989,5.472479e-08,789,789
344832158,3670026,3670026,0,0,0,0,0,0.011202491,0.00017821249,3.060006e-08,789,789
345846834,3670026,3670026,0,0,0,0,0,0.012389789,0.00028527362,1.7180712e-07,789,789
346861554,3670026,3670026,0,0,0,0,0,0.011323936,0.00026048408,9.33255e-08,789,789
347876193,3670026,3670026,0,0,0,0,0,0.021725066,0.0016324609,5.2793634e-06,789,789
348891042,3670026,3670026,0,0,0,0,0,0.005142403,0.00031643023,7.168874e-07,789,789
350818935,3670026,3670026,0,0,0,0,0,0.00096296944,3.7725542e-05,1.7366384e-08,789,789
