timestamp,timestamp_sample,xyz[0],xyz[1],xyz[2]
318444406,318444100,1.3129201,-1.4430135,0.6156923
318449501,318449169,1.6340882,-1.6413305,-1.2349068
318450771,318450439,0.90518975,-0.9693504,-1.3238386
318454556,318454248,-1.7371111,1.4653436,-0.8490112
318459668,318459325,-1.4097705,1.4833343,1.2897831
318462196,318461862,-0.017836647,-0.16172443,1.5362629
318464946,318464631,1.624979,-1.6964642,1.1801618
318469929,318469625,1.227026,-0.635037,-1.3199662
318472455,318472151,-0.44749334,0.6810359,-1.9482136
318476185,318475886,-1.9544641,1.4998128,-1.1768078
318478671,318478375,-1.8559867,0.68211865,0.71217066
318482564,318482224,0.4604408,-0.9014011,2.9571488
318486260,318485959,1.9303395,-0.94331187,1.0138167
318490076,318489766,0.6840934,0.5269064,-2.3078222
318493887,318493582,-1.1270299,1.2904183,-3.212912
318496463,318496128,-1.5916796,0.5766877,-1.0396023
318500228,318499926,-0.52711254,-1.1007576,2.8592005
318506582,318506259,1.0979948,-0.08916603,0.4205299
318510371,318510066,0.41797698,1.4211609,-2.9983768
318514202,318513885,-0.39344123,1.0064963,-2.5801632
318519274,318518945,-0.37681085,-1.7668198,2.4751108
318521854,318521511,0.07304527,-2.1061575,3.486756
318524394,318524024,0.2502036,-0.99585783,2.4798248
318530668,318530363,0.14714074,2.0064795,-3.4177096
318531930,318531632,0.09063691,1.7601244,-3.4889781
318535740,318535436,0.14251816,-0.13824986,-0.5137607
318539539,318539243,0.08621744,-1.8023741,2.938317
318542154,318541787,0.009872296,-1.7076741,2.7255387
318546138,318545816,-0.6948774,0.1781186,-0.28650165
318551153,318550849,0.20638748,1.7881762,-2.5371287
318552402,318552085,0.63456154,1.4871889,-1.945125
318556122,318555822,0.8042763,-0.32292566,0.89460605
318562501,318562179,-0.91254234,-1.327387,1.7954096
318563656,318563352,-1.337789,-0.9811038,0.6741778
318567483,318567174,-0.99337286,0.502256,-2.1707556
318571287,318570959,0.68192524,1.6412772,-1.4761616
318575066,318574765,1.2328315,0.52606267,1.1333323
318577609,318577301,0.86813444,-0.49799535,2.2508357
318580154,318579840,-0.0610317,-1.2555965,1.4151446
318583951,318583644,-1.2202613,-1.0254487,-1.2180524
318587761,318587450,-0.49199453,0.26251715,-2.0557046
318592828,318592526,1.1998618,0.8734942,1.2146027
318594121,318593796,1.3243319,0.87601125,1.8824449
318597898,318597599,0.43923652,0.23670718,1.5919507
318601716,318601410,-1.04807,-0.9063428,-1.2426935
318605512,318605214,-1.1737711,-1.0227509,-2.4528615
318632358,318632032,0.42386347,1.5235263,2.2948678
318633611,318633297,0.18109472,1.7977617,2.667955
318637351,318637041,-0.49740595,1.3882203,1.1628028
318641095,318640793,-0.5605606,-0.784491,-2.0475235
318643626,318643321,0.0026108928,-2.0235648,-2.729526
318647380,318647078,0.9193239,-1.4161031,-0.43772823
318652458,318652152,-0.30453667,1.9196522,2.36505
318653721,318653422,-0.8147388,2.3593817,2.2707283
318657591,318657245,-1.1266451,1.3001474,0.1199273
318662601,318662301,1.0387733,-2.1552887,-2.0007682
318665194,318664846,1.5927387,-2.4673274,-1.3722258
318667739,318667383,1.2636007,-1.3319348,-0.046233904
318672751,318672450,-1.5073441,1.9850317,1.2186905
318675339,318675008,-2.208039,2.1111488,1.0840387
318679112,318678792,-0.13107571,0.23132347,-0.09574877
318681630,318681331,1.573915,-1.3208193,-0.93576753
318685442,318685141,2.1465838,-1.842262,-0.62419724
318689329,318688965,-0.12987265,0.23534378,-0.07665625
318693057,318692749,-2.3070102,1.8481958,0.013842304
318695654,318695340,-1.9815679,1.3316784,0.41615224
318699403,318699097,0.706366,-0.4659808,0.8521281
318703233,318702900,2.380243,-1.577767,0.5024888
318707033,318706710,1.385889,-0.44728243,-1.0353825
318709810,318709488,-0.7376854,0.7848681,-1.6985471
318713534,318713236,-2.7320027,1.2052985,-0.529291
318717284,318716980,-0.7481233,0.2524164,1.6153182
318723620,318723287,2.234737,-1.3107486,0.77276087
318724910,318724567,1.8976876,-0.98541796,-0.28109244
318727307,318727004,0.5148517,0.23690851,-2.1109912
318732394,318732079,-2.2878437,1.1643559,-1.7834566
318734910,318734615,-1.7435759,0.33568984,0.70426553
318738737,318738426,0.5064413,-0.59781075,3.087299
318742521,318742225,1.9743744,-0.8125946,1.7339773
318745056,318744761,1.4280202,-0.26053223,-0.9377799
318748868,318748570,-0.7891646,0.8669491,-3.7591145
318752690,318752375,-1.7098793,0.5462512,-1.481864
318756565,318756195,-0.037904136,-0.84417164,2.799619
318759043,318758719,1.2286094,-0.9427454,4.0793223
318764118,318763793,0.6398535,0.14397714,-0.8896583
318766657,318766331,0.07255674,0.6560587,-3.3340576
318769233,318768877,-0.4093504,0.9198466,-4.075573
318772977,318772676,-0.5345937,0.14989965,-0.26527596
318776820,318776502,-0.0024920374,-1.1606417,3.7117057
318780632,318780310,0.29120544,-0.9750505,2.7146664
318784402,318784104,-0.20345412,0.54021794,-1.7097995
318786939,318786636,-0.4336817,1.1780547,-3.6353695
318791033,318790665,0.3066741,0.87001413,-1.9831766
318794757,318794440,0.48682067,-0.47823474,2.058995
318797326,318796979,0.28161445,-1.135012,3.46471
318801000,318800685,-1.1020392,-0.7567708,0.90569615
318804744,318804443,-0.8680526,0.77695376,-2.6120145
318808488,318808193,0.87247556,1.5157177,-2.5310388
318813581,318813282,1.177207,-0.13425295,2.3440185
318814842,318814540,0.6655451,-0.7772617,2.8733673
318818642,318818343,-1.0861685,-1.6705253,1.1875604
318824987,318824687,-0.46291664,0.71775323,-2.4834814
318828789,318828492,1.4474204,1.4224979,-0.51416594
318835142,318834836,0.4035481,-0.8467336,2.3265986
318844019,318843717,-1.0408223,0.0019513866,-2.0455096
318846560,318846252,0.6542814,1.1369458,-0.6491049
318850357,318850058,2.1552947,1.7040323,2.1189983
318855441,318855137,-0.30943102,-0.5273851,0.6849277
318856701,318856404,-0.98086846,-1.2891415,-0.4007699
318860511,318860211,-1.8295768,-1.8829887,-2.592451
318864378,318864020,-0.4316767,-0.20954086,-1.0762887
318912537,318912239,-1.0032032,1.4917091,0.6871176
318916336,318916029,-0.57207954,-0.8436076,-1.4624199
318920206,318919844,0.7709147,-2.2248368,-1.6654769
318925212,318924909,0.9247888,0.059692636,0.6675409
318927804,318927456,-0.05486683,1.6726036,1.3119599
318951870,318951550,-2.444108,1.2385616,0.3320499
318957164,318956843,0.9882839,-0.6491091,0.78466177
318958477,318958140,2.0537205,-1.1030141,0.633967
318962227,318961887,2.55663,-1.1641822,-0.4858585
318965883,318965586,-0.5186184,0.28880867,-1.7368019
318969698,318969351,-2.641202,0.81276524,-0.70135856
318972165,318971846,-2.2545254,0.6460212,1.0820614
318977239,318976924,1.9429616,-0.12532665,2.659077
319026746,319026411,-0.4573278,0.19787237,-3.3330355
319029355,319028955,-0.38646305,0.104496986,-0.70540035
319031796,319031479,-0.3388432,0.04616677,2.7101212
319037061,319036759,-0.06585493,-0.50120103,2.663842
319039743,319039399,-0.017829712,-0.50226295,-0.1281739
319042122,319041793,0.13152902,0.06423018,-2.8010042
319045940,319045591,0.38572788,0.58466274,-3.2612836
319049650,319049318,0.2865488,0.61912215,0.75017375
319053342,319053043,-0.3953284,-0.41034064,3.6127841
319057207,319056871,-0.7048887,-0.98475766,1.5732671
319059730,319059394,-0.7596623,-0.8301803,-1.6815852
319063488,319063191,0.480694,0.38011143,-3.0202422
319067304,319066996,1.2345287,1.4934745,-0.49552098
319072372,319072071,-0.10639015,-0.1776456,2.8597531
319073643,319073342,-0.65455323,-0.73632663,2.5243752
319077460,319077146,-1.3318003,-1.5026886,-0.24536748
319083793,319083490,1.0317917,1.2485908,-1.7133251
319085069,319084759,1.5561533,1.7122006,-0.71694076
319088931,319088594,1.2636671,1.2856375,1.696081
319093941,319093641,-1.3054961,-1.5011905,0.651789
319095257,319094917,-1.6818709,-1.9266347,-0.39986446
319099033,319098712,-0.90762836,-1.4401518,-1.957017
319104091,319103789,1.4692727,1.9290986,0.17556281
319105359,319105058,1.6074587,2.3402476,0.885558
319109167,319108866,0.62339103,1.4480666,1.7560514
319112964,319112668,-1.1580219,-1.3332058,-0.055970553
319128393,319128037,1.032061,2.210581,1.581709
319129560,319129243,0.4821154,1.3446243,1.237944
319133308,319132994,-1.0956732,-1.9710435,-1.0305413
319137142,319136802,-0.9800797,-2.7691312,-1.9535699
319140900,319140579,0.31736025,0.0749056,-0.06340701
319144683,319144384,1.0485771,2.547002,1.9399494
319147223,319146920,0.46193054,2.5088859,1.3964008
319151052,319150726,-0.909768,-0.21487595,-0.6385909
