timestamp,voltage_v,voltage_filtered_v,current_a,current_filtered_a,average_current_a,discharged_mah,remaining,scale,temperature,cell_count,voltage_cell_v[0],voltage_cell_v[1],voltage_cell_v[2],voltage_cell_v[3],voltage_cell_v[4],voltage_cell_v[5],voltage_cell_v[6],voltage_cell_v[7],voltage_cell_v[8],voltage_cell_v[9],max_cell_voltage_delta,capacity,cycle_count,run_time_to_empty,average_time_to_empty,serial_number,state_of_health,max_error,connected,source,priority,id,is_powering_off,warning
327792568,14.78644,14.787216,15.470401,16.309467,0.0,43.836124,0.528359,1.0684332,nan,4,3.696804,3.696804,3.696804,3.696804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
328092611,14.736317,14.768028,12.6283,16.22269,0.0,45.178104,0.51990944,1.0697447,nan,4,3.692007,3.692007,3.692007,3.692007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
328392206,14.535823,14.75419,19.7775,16.43225,0.0,46.570686,0.5137196,1.0707076,nan,4,3.6885476,3.6885476,3.6885476,3.6885476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
328694092,14.711255,14.740257,15.6169,16.472363,0.0,47.959293,0.5079995,1.0715988,nan,4,3.6850643,3.6850643,3.6850643,3.6850643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
328993638,14.77391,14.726394,16.495901,16.470984,0.0,49.32526,0.5018831,1.0725534,nan,4,3.6815984,3.6815984,3.6815984,3.6815984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
329292441,14.648601,14.713379,16.9647,16.428944,0.0,50.68135,0.49622637,1.0734378,nan,4,3.6783447,3.6783447,3.6783447,3.6783447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
329592264,14.523292,14.693164,16.1736,16.599516,0.0,52.07697,0.4876414,1.074783,nan,4,3.673291,3.673291,3.673291,3.673291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
329892884,14.748847,14.680896,14.2691,16.565495,0.0,53.454304,0.48234278,1.0756148,nan,4,3.670224,3.670224,3.670224,3.670224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
330192223,14.899218,14.669949,15.939199,16.529062,0.0,54.822823,0.47786242,1.0763192,nan,4,3.6674871,3.6674871,3.6674871,3.6674871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
330792306,14.573415,14.647165,15.3239,16.48549,0.0,57.5846,0.46783167,1.0778996,nan,4,3.6617913,3.6617913,3.6617913,3.6617913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
331094969,14.77391,14.628646,16.2908,16.601866,0.0,58.994728,0.45976692,1.0791736,nan,4,3.6571615,3.6571615,3.6571615,3.6571615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
