timestamp,armed_time_ms,armed,prearmed,ready_to_arm,lockdown,manual_lockdown,force_failsafe,in_esc_calibration_mode,soft_stop
317469340,317469,1,1,1,0,0,0,0,0
318484044,317469,1,1,1,0,0,0,0,0
319495779,317469,1,1,1,0,0,0,0,0
319997591,317469,1,1,1,0,0,0,0,0
320500490,317469,1,1,1,0,0,0,0,0
320780157,317469,1,1,1,0,0,0,0,0
322299420,317469,1,1,1,0,0,0,0,0
324830178,317469,1,1,1,0,0,0,0,0
325331180,317469,1,1,1,0,0,0,0,0
325845239,317469,1,1,1,0,0,0,0,0
326347759,317469,1,1,1,0,0,0,0,0
326856052,317469,1,1,1,0,0,0,0,0
327364688,317469,1,1,1,0,0,0,0,0
327869292,317469,1,1,1,0,0,0,0,0
328374354,317469,1,1,1,0,0,0,0,0
328877121,317469,1,1,1,0,0,0,0,0
329889310,317469,1,1,1,0,0,0,0,0
330394179,317469,1,1,1,0,0,0,0,0
330899191,317469,1,1,1,0,0,0,0,0
331407887,317469,1,1,1,0,0,0,0,0
331917235,317469,1,1,1,0,0,0,0,0
332421446,317469,1,1,1,0,0,0,0,0
332932036,317469,1,1,1,0,0,0,0,0
333441521,317469,1,1,1,0,0,0,0,0
333946639,317469,1,1,1,0,0,0,0,0
334454570,317469,1,1,1,0,0,0,0,0
334954991,317469,1,1,1,0,0,0,0,0
336474590,317469,1,1,1,0,0,0,0,0
336976292,317469,1,1,1,0,0,0,0,0
337479823,317469,1,1,1,0,0,0,0,0
337981183,317469,1,1,1,0,0,0,0,0
338495648,317469,1,1,1,0,0,0,0,0
339006017,317469,1,1,1,0,0,0,0,0
339509537,317469,1,1,1,0,0,0,0,0
340020017,317469,1,1,1,0,0,0,0,0
340521172,317469,1,1,1,0,0,0,0,0
341026186,317469,1,1,1,0,0,0,0,0
341537156,317469,1,1,1,0,0,0,0,0
342043489,317469,1,1,1,0,0,0,0,0
343059403,317469,1,1,1,0,0,0,0,0
343567899,317469,1,1,1,0,0,0,0,0
344067523,317469,1,1,1,0,0,0,0,0
344570391,317469,1,1,1,0,0,0,0,0
345080227,317469,1,1,1,0,0,0,0,0
345565199,317469,1,1,1,0,0,0,0,0
346444792,317469,1,1,1,0,0,0,0,0
346947239,317469,1,1,1,0,0,0,0,0
347457612,317469,1,1,1,0,0,0,0,0
347957799,317469,1,1,1,0,0,0,0,0
348966181,317469,1,1,1,0,0,0,0,0
349092967,317469,1,1,1,0,0,0,0,0
349595209,317469,1,1,1,0,0,0,0,0
350103967,317469,1,1,1,0,0,0,0,0
350319030,317469,1,1,1,0,1,0,0,0
350701552,0,0,1,1,0,1,0,0,0
