timestamp,airspeed_timestamp_rel,distance_sensor_timestamp_rel,optical_flow_timestamp_rel,vehicle_air_data_timestamp_rel,vehicle_magnetometer_timestamp_rel,visual_odometry_timestamp_rel
318761280,32767,32767,32767,-32,32767,-1
318766331,32767,32767,32767,32767,-20,-3
318771405,32767,32767,32767,32767,32767,-39
318776502,32767,32767,32767,32767,32767,-27
318781565,32767,32767,32767,32767,-43,32767
318786636,32767,32767,32767,32767,32767,-16
318792009,32767,32767,32767,32767,-19,32767
318796979,32767,32767,32767,32767,32767,-24
318801966,32767,32767,32767,32767,32767,1
318806966,32767,32767,32767,32767,-43,-14
318812020,32767,32767,32767,32767,32767,32767
318817077,32767,32767,32767,32767,-18,-29
318822166,32767,32767,32767,-33,32767,32767
318827225,32767,32767,32767,32767,5,-14
318832317,32767,32767,32767,32767,32767,-3
318842449,32767,32767,32767,32767,-20,-1
318847521,32767,32767,32767,32767,32767,32767
318852598,32767,32767,32767,32767,32767,-6
318857674,32767,32767,32767,32767,-41,-15
318862755,32767,32767,32767,32767,32767,-7
318908420,32767,32767,32767,32767,32767,32767
318913493,32767,32767,32767,32767,32767,-1
318918576,32767,32767,32767,32767,-20,-11
318923639,32767,32767,32767,-30,32767,-13
318928725,32767,32767,32767,32767,6,32767
318949012,32767,32767,32767,32767,32767,32767
318954356,32767,32767,32767,32767,5,-2
318959351,32767,32767,32767,32767,32767,32767
318964370,32767,32767,32767,32767,32767,-10
318969351,32767,32767,32767,32767,-20,32767
318974388,32767,32767,32767,32767,32767,-19
319025139,32767,32767,32767,32767,32767,-26
319030208,32767,32767,32767,32767,7,32767
319035304,32767,32767,32767,-33,32767,-39
319040573,32767,32767,32767,32767,32767,32767
319045591,32767,32767,32767,32767,-20,-16
319050550,32767,32767,32767,32767,32767,32767
319055616,32767,32767,32767,32767,6,-27
319060672,32767,32767,32767,32767,32767,32767
319065729,32767,32767,32767,32767,32767,-6
319070813,32767,32767,32767,32767,-21,32767
319075890,32767,32767,32767,32767,32767,-24
319080957,32767,32767,32767,32767,5,32767
319086025,32767,32767,32767,-21,32767,-14
319091112,32767,32767,32767,32767,32767,32767
319096176,32767,32767,32767,32767,-20,-17
319101258,32767,32767,32767,32767,32767,32767
319106332,32767,32767,32767,32767,32767,-6
319111412,32767,32767,32767,32767,-44,32767
319126811,32767,32767,32767,32767,32767,-18
319131748,32767,32767,32767,32767,6,32767
319136802,32767,32767,32767,32767,32767,-24
319141857,32767,32767,32767,32767,32767,32767
319146920,32767,32767,32767,-24,-20,-16
319152011,32767,32767,32767,32767,32767,0
319157079,32767,32767,32767,32767,5,-14
319162157,32767,32767,32767,32767,32767,32767
319167218,32767,32767,32767,32767,32767,-29
319172321,32767,32767,32767,32767,-21,1
319177371,32767,32767,32767,32767,32767,32767
319182453,32767,32767,32767,32767,7,-11
319187516,32767,32767,32767,32767,32767,32767
319192602,32767,32767,32767,32767,32767,2
319197665,32767,32767,32767,-24,-18,32767
319203003,32767,32767,32767,32767,32767,-3
319207946,32767,32767,32767,32767,5,32767
319212951,32767,32767,32767,32767,32767,-5
319228112,32767,32767,32767,32767,32767,32767
319233190,32767,32767,32767,32767,5,-12
319238280,32767,32767,32767,32767,32767,32767
319243336,32767,32767,32767,32767,32767,-6
319248413,32767,32767,32767,-31,-21,32767
319253488,32767,32767,32767,32767,32767,-11
319258564,32767,32767,32767,32767,6,-15
319263647,32767,32767,32767,32767,32767,-12
319268709,32767,32767,32767,32767,32767,32767
319273788,32767,32767,32767,32767,-17,-24
319278874,32767,32767,32767,32767,32767,32767
319284156,32767,32767,32767,32767,5,-18
319289198,32767,32767,32767,32767,32767,32767
319294160,32767,32767,32767,32767,32767,-16
319299195,32767,32767,32767,32767,-19,32767
319304291,32767,32767,32767,32767,32767,-8
319319463,32767,32767,32767,32767,32767,32767
319324537,32767,32767,32767,32767,-20,-20
319329615,32767,32767,32767,32767,32767,32767
319334694,32767,32767,32767,32767,5,-32
319339755,32767,32767,32767,32767,32767,32767
319344827,32767,32767,32767,32767,32767,-29
319349905,32767,32767,32767,32767,-19,32767
319354983,32767,32767,32767,32767,32767,-16
319360053,32767,32767,32767,-16,10,32767
319385427,32767,32767,32767,32767,32767,-31
319390507,32767,32767,32767,32767,-44,32767
319395581,32767,32767,32767,32767,32767,-28
319400657,32767,32767,32767,32767,-19,32767
319405721,32767,32767,32767,32767,32767,-24
319410799,32767,32767,32767,32767,6,32767
319415882,32767,32767,32767,32767,32767,-32
319420948,32767,32767,32767,32767,32767,32767
319431101,32767,32767,32767,-31,32767,32767
319436174,32767,32767,32767,32767,32767,-36
319441307,32767,32767,32767,32767,-43,32767
319446588,32767,32767,32767,32767,32767,-16
319451587,32767,32767,32767,32767,-19,32767
319456615,32767,32767,32767,32767,32767,-33
319461612,32767,32767,32767,32767,6,-3
319466618,32767,32767,32767,32767,32767,32767
319471693,32767,32767,32767,32767,32767,32767
319476768,32767,32767,32767,32767,-20,-38
319481850,32767,32767,32767,-24,32767,32767
319486914,32767,32767,32767,32767,5,-32
319492013,32767,32767,32767,32767,32767,32767
319497075,32767,32767,32767,32767,32767,-16
319502140,32767,32767,32767,32767,-21,-1
319507233,32767,32767,32767,32767,32767,32767
319537769,32767,32767,32767,32767,32767,32767
319542778,32767,32767,32767,32767,-43,-4
319547809,32767,32767,32767,32767,32767,32767
319552890,32767,32767,32767,32767,-19,-10
