timestamp,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
318213200,0.6863361,-0.003466093,0.0024288576,0.7272722,0.9818129,4.5758765e-11,-3.2950273e-10,-0.1898514,3
318218558,0.6863331,-0.0034919141,0.0024330406,0.7272749,0.9818129,4.5758765e-11,-3.2950273e-10,-0.1898514,3
318223576,0.68631643,-0.0034921218,0.0024161946,0.7272907,0.9818129,4.5758765e-11,-3.2950273e-10,-0.1898514,3
318228585,0.68631464,-0.0034693305,0.0024160536,0.72729254,0.9818129,4.5758765e-11,-3.2950273e-10,-0.1898514,3
318233552,0.6863287,-0.003473486,0.0024322146,0.7272792,0.9818129,4.5758765e-11,-3.2950273e-10,-0.1898514,3
318238573,0.6863292,-0.0034942483,0.002429468,0.7272786,0.9818129,4.5758765e-11,-3.2950273e-10,-0.1898514,3
318243655,0.68631566,-0.003479684,0.0024065713,0.7272915,0.9818129,4.5758765e-11,-3.2950273e-10,-0.1898514,3
318248722,0.6863103,-0.0034670988,0.0024073892,0.7272967,0.9818129,4.5758765e-11,-3.2950273e-10,-0.1898514,3
318253799,0.68632764,-0.0034786917,0.0024317396,0.72728014,0.9818129,4.5758765e-11,-3.2950273e-10,-0.1898514,3
318258877,0.6863275,-0.003481797,0.002429095,0.72728026,0.9818129,4.5758765e-11,-3.2950273e-10,-0.1898514,3
318263948,0.68630725,-0.003465003,0.0024044022,0.7272996,0.9818129,4.5758765e-11,-3.2950273e-10,-0.1898514,3
318269020,0.68631077,-0.0034668173,0.0024115522,0.72729623,0.9818129,4.5758765e-11,-3.2950273e-10,-0.1898514,3
318274108,0.68632746,-0.0034817003,0.002435824,0.72728026,0.9818129,4.5758765e-11,-3.2950273e-10,-0.1898514,3
318279169,0.68632406,-0.0034735973,0.0024273708,0.72728354,0.9818129,4.5758765e-11,-3.2950273e-10,-0.1898514,3
318284271,0.6863116,-0.003459516,0.0024052267,0.7272954,0.9818129,4.5758765e-11,-3.2950273e-10,-0.1898514,3
318289327,0.686316,-0.0034696066,0.0024165944,0.72729117,0.9818129,4.5758765e-11,-3.2950273e-10,-0.1898514,3
318294402,0.68632627,-0.0034799925,0.0024338188,0.7272814,0.9818129,4.5758765e-11,-3.2950273e-10,-0.1898514,3
318299512,0.6863224,-0.003467176,0.0024242473,0.7272852,0.9818129,4.5758765e-11,-3.2950273e-10,-0.1898514,3
