timestamp,accel_device_id,gyro_device_id,accel_clipping[0],accel_clipping[1],accel_clipping[2],accel_error_count,gyro_error_count,accel_vibration_metric,gyro_vibration_metric,gyro_coning_vibration,accel_rate_hz,gyro_rate_hz
317847577,2359306,2359306,0,0,0,0,0,0.0010186767,1.3783008e-05,5.7404465e-10,801,801
318867533,2359306,2359306,0,0,0,0,0,0.0018282664,6.4233805e-05,2.9373384e-09,801,801
321850251,2359306,2359306,0,0,0,0,0,0.001884595,7.669875e-05,3.6251837e-09,801,801
322890102,2359306,2359306,0,0,0,0,0,0.009319034,0.00020080202,1.0795146e-07,801,801
324838763,2359306,2359306,0,0,0,0,0,0.010183745,0.00025099225,4.6388156e-08,801,801
325884468,2359306,2359306,0,0,0,0,0,0.012066628,0.00027472427,1.0987616e-07,801,801
326817203,2359306,2359306,0,0,0,0,0,0.015101523,0.00026517644,1.2667644e-07,801,801
327857284,2359306,2359306,0,0,0,0,0,0.013271204,0.00026407462,1.4131959e-07,801,801
328790933,2359306,2359306,0,0,0,0,0,0.012843343,0.0002501321,1.2098249e-07,801,801
329820376,2359306,2359306,0,0,0,0,0,0.01280115,0.0002345786,8.424977e-08,801,801
331794812,2359306,2359306,0,0,0,0,0,0.013091964,0.00021440568,6.8061034e-08,801,801
332823076,2359306,2359306,0,0,0,0,0,0.011074135,0.0002098483,4.338064e-08,801,801
334876765,2359306,2359306,0,0,0,0,0,0.0116912015,0.00020809264,5.246704e-08,801,801
336840169,2359306,2359306,0,0,0,0,0,0.013862623,0.00019861216,5.7139115e-08,801,801
337864362,2359306,2359306,0,0,0,0,0,0.010159194,0.00017919333,4.7391897e-08,801,801
338803708,2359306,2359306,0,0,0,0,0,0.00929302,0.00022255021,4.843312e-08,801,801
342835863,2359306,2359306,0,0,0,0,0,0.010900143,0.00021339965,5.997777e-08,801,801
343869834,2359306,2359306,0,0,0,0,0,0.009831149,0.000240761,5.941609e-08,801,801
344893852,2359306,2359306,0,0,0,0,0,0.014394768,0.00021353319,3.646119e-08,801,801
345818983,2359306,2359306,0,0,0,0,0,0.014955537,0.00025189048,1.2167108e-07,801,801
346843435,2359306,2359306,0,0,0,0,0,0.012470103,0.00026567528,7.7542225e-08,801,801
347876478,2359306,2359306,0,0,0,0,0,0.022179926,0.0015737084,5.182591e-06,801,801
348796124,2359306,2359306,0,0,0,0,0,0.0063991295,0.0003487152,8.278742e-07,801,801
350868815,2359306,2359306,0,0,0,0,0,0.0014087991,3.6189675e-05,1.4922913e-08,801,801
