timestamp,voltage5v_v,voltage3v3_v,v3v3_valid,usb_connected,brick_valid,usb_valid,servo_valid,periph_5v_oc,hipower_5v_oc
317892169,5.0515137,0.0,0,0,1,0,1,0,0
318393072,5.040234,0.0,0,0,1,0,1,0,0
318902168,4.9822264,0.0,0,0,1,0,1,0,0
319392425,5.053125,0.0,0,0,1,0,1,0,0
320393304,5.053125,0.0,0,0,1,0,1,0,0
321892223,5.019287,0.0,0,0,1,0,1,0,0
322392192,5.08374,0.0,0,0,1,0,1,0,0
322892203,5.127246,0.0,0,0,1,0,1,0,0
323392353,5.0450683,0.0,0,0,1,0,1,0,0
324894435,5.1933103,0.0,0,0,1,0,1,0,0
325392217,5.017676,0.0,0,0,1,0,1,0,0
325893141,5.0515137,0.0,0,0,1,0,1,0,0
326392200,5.041846,0.0,0,0,1,0,1,0,0
326892836,5.053125,0.0,0,0,1,0,1,0,0
327392318,5.0499024,0.0,0,0,1,0,1,0,0
327892279,5.054736,0.0,0,0,1,0,1,0,0
328392186,5.0950193,0.0,0,0,1,0,1,0,0
328892231,5.0128417,0.0,0,0,1,0,1,0,0
329892861,5.0112305,0.0,0,0,1,0,1,0,0
330393109,5.08374,0.0,0,0,1,0,1,0,0
330892490,5.0112305,0.0,0,0,1,0,1,0,0
331393489,5.053125,0.0,0,0,1,0,1,0,0
331892381,4.954834,0.0,0,0,1,0,1,0,0
332392976,5.0128417,0.0,0,0,1,0,1,0,0
332892581,4.956445,0.0,0,0,1,0,1,0,0
333392223,5.003174,0.0,0,0,1,0,1,0,0
334392268,5.003174,0.0,0,0,1,0,1,0,0
334892249,5.041846,0.0,0,0,1,0,1,0,0
336892527,5.041846,0.0,0,0,1,0,1,0,0
337392185,5.0450683,0.0,0,0,1,0,1,0,0
337893201,5.0112305,0.0,0,0,1,0,1,0,0
338392433,5.1208005,0.0,0,0,1,0,1,0,0
338893797,5.0660157,0.0,0,0,1,0,1,0,0
339392226,5.041846,0.0,0,0,1,0,1,0,0
340392178,5.1095214,0.0,0,0,1,0,1,0,0
341394878,5.009619,0.0,0,0,1,0,1,0,0
342393446,5.0063963,0.0,0,0,1,0,1,0,0
342892357,5.043457,0.0,0,0,1,0,1,0,0
343392528,4.9097166,0.0,0,0,1,0,1,0,0
343892544,4.9709473,0.0,0,0,1,0,1,0,0
344892345,4.975781,0.0,0,0,1,0,1,0,0
345392854,5.041846,0.0,0,0,1,0,1,0,0
345892976,5.038623,0.0,0,0,1,0,1,0,0
346392499,5.004785,0.0,0,0,1,0,1,0,0
346894002,4.906494,0.0,0,0,1,0,1,0,0
347392201,5.0321774,0.0,0,0,1,0,1,0,0
347893382,5.003174,0.0,0,0,1,0,1,0,0
348892553,5.0080075,0.0,0,0,1,0,1,0,0
349392240,5.0321774,0.0,0,0,1,0,1,0,0
350392200,4.945166,0.0,0,0,1,0,1,0,0
350892349,5.003174,0.0,0,0,1,0,1,0,0
351392425,5.004785,0.0,0,0,1,0,1,0,0
