timestamp,timestamp_sample,device_id,x,y,z,temperature,error_count
317883620,317883355,3670026,-0.0037284256,0.011078751,-0.026951192,51.115055,0
317884901,317884621,3670026,-0.019014971,0.011771172,-0.024767399,51.124847,0
318902339,318902073,3670026,-0.016724652,0.008575379,0.013369069,50.8213,0
321886192,321885911,3670026,-0.0052730595,0.023808662,-0.00165116,50.51285,0
322883472,322883209,3670026,0.12298479,-0.003089267,-0.11313109,50.302326,0
324885159,324884895,3670026,0.07243799,-0.08090684,0.080267675,49.504284,0
325883550,325883284,3670026,-0.40836912,0.030360037,0.12692626,49.17136,0
326884434,326884169,3670026,0.0021837922,-0.13523532,-0.16729979,48.71114,0
327885469,327885185,3670026,-0.029933931,0.16170715,0.05763081,48.608326,0
328883690,328883413,3670026,0.19078887,-0.13997576,0.013262542,48.133415,0
329883360,329883020,3670026,0.06737798,0.038029943,0.04053331,47.756424,0
330884160,330883877,3670026,-0.27925906,0.05848302,-0.02327603,47.39902,0
331886458,331886185,3670026,0.13070795,-0.055819858,-0.01304949,47.04162,0
332883324,332883033,3670026,-0.2308428,-0.15302525,-0.038509313,46.694004,0
334884989,334884678,3670026,0.13166669,0.05203817,-0.046019424,45.940025,0
336884052,336883767,3670026,-0.25108284,0.30929953,-0.03387541,45.4847,0
337884816,337884543,3670026,-0.19606192,0.09230517,-0.0037284256,45.137085,0
338884342,338884062,3670026,0.29816753,0.09299759,-0.06998788,44.92656,0
342883629,342883339,3670026,0.07249125,0.08154599,-0.030466564,43.878826,0
343886885,343886613,3670026,-0.10759171,-0.009640643,0.051612064,43.599754,0
344885188,344884924,3670026,0.20793962,0.10908308,0.0040480047,43.384335,0
345885820,345885553,3670026,0.04628574,0.22184132,-0.05145227,43.203182,0
346885318,346885015,3670026,-0.21070932,-0.17012273,-0.026897928,43.066097,0
347884743,347884480,3670026,-0.45199174,-0.08894958,-0.076272935,43.051407,0
348885655,348885382,3670026,-0.02162487,0.010865698,0.012144015,43.031822,0
350884405,350884125,3670026,-0.011132013,0.010812435,0.00058589544,43.188496,0
