timestamp,roll,pitch,yaw,thrust_body[0],thrust_body[1],thrust_body[2]
317889298,0.010345894,-0.06716477,0.0004683642,0.0,0.0,-0.0
317894462,0.010160551,-0.06725308,-0.0004959045,0.0,0.0,-0.0
318011042,0.010274533,-0.06716982,2.2597042e-05,0.0,0.0,-0.0
318016205,0.010162419,-0.06758964,1.7503413e-05,0.0,0.0,-0.0
318021317,0.010298179,-0.06743188,-0.00013110618,0.0,0.0,-0.0
318026411,0.010322852,-0.06693489,-5.5296165e-05,0.0,0.0,-0.0
318031443,0.010141322,-0.06708758,3.5194746e-05,0.0,0.0,-0.0
318036432,0.010067884,-0.06770455,4.0709015e-06,0.0,0.0,-0.0
318041596,0.0102478685,-0.06753025,-0.000121895835,0.0,0.0,-0.0
318046566,0.010329852,-0.06696022,-2.3230004e-05,0.0,0.0,-0.0
318051692,0.010327823,-0.067155026,5.3959157e-05,0.0,0.0,-0.0
318057061,0.0102483295,-0.06774365,-3.1686544e-05,0.0,0.0,-0.0
318061899,0.010330773,-0.06756435,-0.00010561379,0.0,0.0,-0.0
318066946,0.010283669,-0.06712223,-5.289294e-06,0.0,0.0,-0.0
318071904,0.010228882,-0.0672326,9.135925e-06,0.0,0.0,-0.0
318076911,0.010269213,-0.06758925,-2.4805875e-05,0.0,0.0,-0.0
318082003,0.010252153,-0.067479394,-0.00013524543,0.0,0.0,-0.0
318087522,0.010143277,-0.06716963,-1.6412112e-05,0.0,0.0,-0.0
318092441,0.01007217,-0.06719436,0.00012135474,0.0,0.0,-0.0
318097397,0.010124969,-0.06748263,-4.6631438e-05,0.0,0.0,-0.0
318102590,0.010116104,-0.06753942,-0.0002271647,0.0,0.0,-0.0
318107522,0.0100064315,-0.06737396,2.48413e-05,0.0,0.0,-0.0
318112697,0.009989943,-0.06721653,0.0001262735,0.0,0.0,-0.0
318117743,0.010102174,-0.06734957,-6.030404e-05,0.0,0.0,-0.0
318122844,0.010118735,-0.06749083,-0.00020196552,0.0,0.0,-0.0
318128154,0.009934912,-0.06738573,2.7678725e-05,0.0,0.0,-0.0
318132937,0.009958687,-0.06721192,0.00019990234,0.0,0.0,-0.0
318138055,0.0101558715,-0.06732718,-9.856372e-05,0.0,0.0,-0.0
318143129,0.01011655,-0.06756958,-0.00024790084,0.0,0.0,-0.0
318148064,0.009934309,-0.0673925,6.7103945e-05,0.0,0.0,-0.0
318153080,0.009884303,-0.06713597,0.00015298727,0.0,0.0,-0.0
318158456,0.010094314,-0.06724562,-8.901754e-05,0.0,0.0,-0.0
318163174,0.0101758465,-0.06755698,-0.00020704487,0.0,0.0,-0.0
318168389,0.009888059,-0.06731085,1.9732217e-05,0.0,0.0,-0.0
318173572,0.00976723,-0.06702086,0.0001923421,0.0,0.0,-0.0
318178458,0.0100377025,-0.06726836,-0.00010502461,0.0,0.0,-0.0
318183627,0.010098564,-0.0675303,-0.00025065866,0.0,0.0,-0.0
318188962,0.009887537,-0.06712788,4.008542e-05,0.0,0.0,-0.0
318193781,0.009810886,-0.06694027,0.0001683621,0.0,0.0,-0.0
318198810,0.010045653,-0.06732044,-0.000102183214,0.0,0.0,-0.0
318204050,0.010121946,-0.067330256,-0.00022108821,0.0,0.0,-0.0
318208958,0.009905952,-0.066967025,2.4339706e-05,0.0,0.0,-0.0
318214034,0.009798915,-0.067005575,0.00017836245,0.0,0.0,-0.0
318219594,0.010034299,-0.06735191,-5.321538e-05,0.0,0.0,-0.0
318224329,0.010231573,-0.067169495,-0.00020435805,0.0,0.0,-0.0
318229313,0.009982222,-0.066902824,-4.2387546e-05,0.0,0.0,-0.0
318234303,0.009840501,-0.067128554,0.00013356115,0.0,0.0,-0.0
318239309,0.01010101,-0.06733991,-1.4666046e-05,0.0,0.0,-0.0
318245128,0.010206787,-0.0669191,-0.00017156676,0.0,0.0,-0.0
318249553,0.010058272,-0.06678176,-8.190523e-05,0.0,0.0,-0.0
318254623,0.009902984,-0.06718396,0.00016995597,0.0,0.0,-0.0
318260070,0.00996849,-0.067190945,-2.3153027e-05,0.0,0.0,-0.0
318264855,0.010070279,-0.066724524,-0.00024444563,0.0,0.0,-0.0
318269942,0.010006446,-0.06682423,1.7349998e-05,0.0,0.0,-0.0
318274981,0.009888503,-0.067263804,0.00016370838,0.0,0.0,-0.0
318280067,0.009898315,-0.06707663,-5.905921e-05,0.0,0.0,-0.0
318285168,0.010000549,-0.06666971,-0.00015872522,0.0,0.0,-0.0
318290469,0.009978859,-0.066911995,2.7495938e-05,0.0,0.0,-0.0
318295242,0.00989321,-0.0672219,9.163599e-05,0.0,0.0,-0.0
318300649,0.009864005,-0.066967614,-6.4192296e-05,0.0,0.0,-0.0
318305463,0.009977492,-0.06660146,-0.00013322535,0.0,0.0,-0.0
318310565,0.009952371,-0.06686287,3.274231e-05,0.0,0.0,-0.0
318315495,0.00978136,-0.0670612,-2.7192277e-06,0.0,0.0,-0.0
318320612,0.009644997,-0.066875204,-0.000115104034,0.0,0.0,-0.0
318326062,0.009829087,-0.06676455,-2.9976707e-05,0.0,0.0,-0.0
318330679,0.009895049,-0.066969015,6.847199e-05,0.0,0.0,-0.0
318335845,0.009648212,-0.067151114,-7.077184e-05,0.0,0.0,-0.0
318340885,0.009547498,-0.06702241,-0.00011764434,0.0,0.0,-0.0
318346071,0.009650535,-0.06679311,5.630333e-05,0.0,0.0,-0.0
318351098,0.009642978,-0.06682077,0.00010442437,0.0,0.0,-0.0
318356340,0.009473066,-0.06694421,-0.00011751022,0.0,0.0,-0.0
318361438,0.009480174,-0.0669831,-0.00013338636,0.0,0.0,-0.0
318366462,0.009562658,-0.066778444,0.00013750287,0.0,0.0,-0.0
318371467,0.009471378,-0.06657496,3.855828e-05,0.0,0.0,-0.0
318376427,0.009464747,-0.06678487,-0.0002377337,0.0,0.0,-0.0
318381585,0.009514063,-0.066968806,-3.1590517e-08,0.0,0.0,-0.0
318386669,0.009542817,-0.066667415,0.000168329,0.0,0.0,-0.0
318392332,0.009480097,-0.066446334,-6.961757e-06,0.0,0.0,-0.0
318396725,0.00953586,-0.06676857,-0.00013435168,0.0,0.0,-0.0
318401750,0.009600098,-0.066989854,-2.9441533e-05,0.0,0.0,-0.0
318427189,0.009369377,-0.06661991,6.653622e-05,0.0,0.0,-0.0
318432398,0.009352101,-0.06662474,3.098032e-05,0.0,0.0,-0.0
318437408,0.009675158,-0.06704717,-4.4691118e-05,0.0,0.0,-0.0
318442542,0.009598013,-0.066996105,-0.00017067144,0.0,0.0,-0.0
318447574,0.009204063,-0.06663731,4.3641016e-05,0.0,0.0,-0.0
318452747,0.009327972,-0.066709004,0.000100825,0.0,0.0,-0.0
318458104,0.009637841,-0.067059465,-7.037634e-05,0.0,0.0,-0.0
318462792,0.009525354,-0.0669161,-0.00017582753,0.0,0.0,-0.0
318468244,0.009196245,-0.066696234,1.0635133e-05,0.0,0.0,-0.0
318472956,0.009287694,-0.06685289,0.00014843098,0.0,0.0,-0.0
