timestamp,timestamp_sample,device_id,x,y,z,temperature,error_count,clip_counter[0],clip_counter[1],clip_counter[2]
317883785,317883355,3670026,0.31794998,0.25617957,-9.518389,51.115055,0,0,0,0
317885073,317884621,3670026,-0.3701436,-0.3816358,-10.232818,51.124847,0,0,0,0
318902504,318902073,3670026,0.12737153,0.19728222,-10.207439,50.8213,0,0,0,0
321886360,321885911,3670026,0.320823,-0.13503298,-9.923009,50.51285,0,0,0,0
322883630,322883209,3670026,8.811141,4.2281604,5.0077124,50.302326,0,0,0,0
324885326,324884895,3670026,2.2907722,1.0199299,-8.123048,49.504284,0,0,0,0
325883711,325883284,3670026,10.884041,-6.4533315,3.535278,49.17136,0,0,0,0
326884592,326884169,3670026,9.894757,-0.6435615,-5.121197,48.71114,0,0,0,0
327885711,327885185,3670026,-6.7775064,0.7015011,-8.927021,48.608326,0,0,0,0
328883847,328883413,3670026,-6.520848,-0.76183504,-16.725414,48.133415,0,0,0,0
329883616,329883020,3670026,3.9633615,3.7598543,-1.3972563,47.756424,0,0,0,0
330884443,330883877,3670026,1.6663644,-0.46974236,4.234864,47.39902,0,0,0,0
331886617,331886185,3670026,5.916551,0.67372835,-3.566403,47.04162,0,0,0,0
332883577,332883033,3670026,12.326787,-1.2143391,-5.2648497,46.694004,0,0,0,0
334885233,334884678,3670026,-0.18674773,4.4211326,-17.004099,45.940025,0,0,0,0
336884362,336883767,3670026,-10.191639,-8.385452,-13.445837,45.4847,0,0,0,0
337884975,337884543,3670026,5.398446,-4.4972687,-1.364695,45.137085,0,0,0,0
338884503,338884062,3670026,-7.1605787,3.1067162,-20.79843,44.92656,0,0,0,0
342883870,342883339,3670026,-12.745772,-2.3764846,-19.839794,43.878826,0,0,0,0
343887071,343886613,3670026,-3.3600228,-0.19249383,-17.16499,43.599754,0,0,0,0
344885358,344884924,3670026,-1.6084247,6.4887652,-20.776403,43.384335,0,0,0,0
345885984,345885553,3670026,2.2357056,1.3723564,-4.508761,43.203182,0,0,0,0
346885484,346885015,3670026,10.220369,2.6106377,-2.4009054,43.066097,0,0,0,0
347884900,347884480,3670026,3.9312792,-3.2436645,-21.282537,43.051407,0,0,0,0
348885817,348885382,3670026,-0.13551182,-0.7038953,-9.774569,43.031822,0,0,0,0
350884648,350884125,3670026,0.0272939,-0.24516626,-9.829635,43.188496,0,0,0,0
