timestamp,data_rate,rate_multiplier,rate_rx,rate_tx,rate_txerr,type,mode,flow_control,forwarding,mavlink_v2,ftp,streams,_padding0[0],_padding0[1],_padding0[2],_padding0[3],_padding0[4],heartbeats[0].timestamp,heartbeats[0].system_id,heartbeats[0].component_id,heartbeats[0].type,heartbeats[0].state,heartbeats[0]._padding0[0],heartbeats[0]._padding0[1],heartbeats[0]._padding0[2],heartbeats[0]._padding0[3],heartbeats[1].timestamp,heartbeats[1].system_id,heartbeats[1].component_id,heartbeats[1].type,heartbeats[1].state,heartbeats[1]._padding0[0],heartbeats[1]._padding0[1],heartbeats[1]._padding0[2],heartbeats[1]._padding0[3],heartbeats[2].timestamp,heartbeats[2].system_id,heartbeats[2].component_id,heartbeats[2].type,heartbeats[2].state,heartbeats[2]._padding0[0],heartbeats[2]._padding0[1],heartbeats[2]._padding0[2],heartbeats[2]._padding0[3],heartbeats[3].timestamp,heartbeats[3].system_id,heartbeats[3].component_id,heartbeats[3].type,heartbeats[3].state,heartbeats[3]._padding0[0],heartbeats[3]._padding0[1],heartbeats[3]._padding0[2],heartbeats[3]._padding0[3]
317455212,46080.0,1.0,28.392279,21.931414,0.0,0,2,0,0,1,1,48,0,0,0,0,0,317449309,1,240,18,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
318453913,46080.0,1.0,28.598722,20.32803,0.0,0,2,0,0,1,1,48,0,0,0,0,0,318450078,1,240,18,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
319449909,46080.0,1.0,28.270899,21.971178,0.0,0,2,0,0,1,1,48,0,0,0,0,0,319448624,1,240,18,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
320450660,46080.0,1.0,28.612734,21.978413,0.0,0,2,0,0,1,1,48,0,0,0,0,0,320448356,1,240,18,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
325449053,46080.0,1.0,28.37608,30.605272,0.0,0,2,0,0,1,1,48,0,0,0,0,0,325446350,1,240,18,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
326447935,46080.0,1.0,28.48725,23.544891,0.0,0,2,0,0,1,1,48,0,0,0,0,0,326446332,1,240,18,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
327445813,46080.0,1.0,28.439623,23.642542,0.0,0,2,0,0,1,1,48,0,0,0,0,0,327445716,1,240,18,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
328448217,46080.0,1.0,28.639462,23.470675,0.0,0,2,0,0,1,1,48,0,0,0,0,0,328445314,1,240,18,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
329447364,46080.0,1.0,28.446869,23.569407,0.0,0,2,0,0,1,1,48,0,0,0,0,0,329445557,1,240,18,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
330445574,46080.0,1.0,28.416779,23.499527,0.0,0,2,0,0,1,1,48,0,0,0,0,0,330444889,1,240,18,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
