timestamp,timestamp_sample,hover_thrust,hover_thrust_var,accel_innov,accel_innov_var,accel_innov_test_ratio,accel_noise_var,valid
322296211,322293135,0.40963072,0.012000487,5.7738285,2.2352824,1.6571158,1.165324,0
322317236,322313666,0.40963072,0.012005625,5.7256308,2.5698912,1.4173902,1.3297578,0
322589392,322587455,0.21561158,0.00014572548,0.773427,10.632435,0.006251201,10.567086,0
322692531,322688947,0.22141936,0.00012140005,-2.2352679,13.857278,0.04006256,14.040806,0
322890243,322887101,0.23034789,9.5963704e-05,-3.865209,18.592901,0.08928044,18.697493,0
323397835,323394288,0.24330679,7.299549e-05,-2.844153,22.4843,0.03997459,22.32668,0
324595094,324591856,0.26101002,4.863233e-05,-1.7357453,15.231892,0.021977369,14.9928255,0
324695334,324693439,0.26207736,4.711351e-05,-0.48120284,14.550603,0.001768206,14.31379,0
324793167,324789754,0.26332685,4.5641216e-05,-1.6491392,13.905626,0.021731094,13.68416,0
324894365,324891238,0.26454866,4.422872e-05,-2.4517813,13.253924,0.050393727,13.060069,0
324995501,324992726,0.26566237,4.2864656e-05,-1.7887179,12.676301,0.028044559,12.476607,0
325096391,325094430,0.2667273,4.1512492e-05,-1.3627794,12.09461,0.01706148,11.895317,0
325188613,325185626,0.26732895,4.0255898e-05,-0.13864863,11.590143,0.0001842892,11.41347,0
325290116,325287034,0.26841906,3.903623e-05,-2.1050804,11.045029,0.044578765,10.874342,0
325391213,325388520,0.26939133,3.7751015e-05,-1.8507631,10.520551,0.03617601,10.350153,0
325493253,325490012,0.2703018,3.656269e-05,-1.6680962,10.015375,0.030869704,9.854405,0
325589187,325586656,0.2715145,3.537362e-05,-1.1355094,9.571909,0.014967194,9.411217,0
325690578,325687915,0.27250782,3.4269975e-05,-3.1527696,9.112245,0.12120389,9.003182,0
325791553,325789392,0.273116,3.321376e-05,0.09659803,8.709128,0.00011904723,8.58187,0
325893069,325890881,0.2740234,3.2171047e-05,-1.8240937,8.316545,0.044453796,8.18488,0
325995246,325992583,0.2750797,3.1155694e-05,-2.500037,7.9543276,0.08730656,7.839842,0
326096881,326093850,0.27512315,3.0204226e-05,0.6930239,7.611354,0.007011195,7.5176654,0
326193644,326190303,0.2762135,2.9257148e-05,-3.6742449,7.3705826,0.20351286,7.3170085,0
326293923,326291759,0.27733544,2.8375744e-05,-1.2604373,7.211814,0.024476845,7.095821,0
326396287,326393236,0.27804488,2.7526827e-05,-2.02435,6.9407372,0.0656029,6.836491,0
