timestamp,load,ram_usage
317454217,0.8428049,0.8993926
317952944,0.9274531,0.89960206
318453096,0.9084564,0.89960206
318952800,0.8962503,0.8998813
319453034,0.910908,0.8998813
319952779,0.9039085,0.8998813
320454930,0.9030539,0.8998813
323952802,0.949089,0.9017664
324954413,0.9263589,0.9017664
325454365,0.9103254,0.9017664
325955783,0.90097195,0.9017664
326452895,0.9093193,0.89960206
326952768,0.90262526,0.89960206
327452991,0.9015136,0.89960206
327952910,0.89801407,0.89960206
328452865,0.906665,0.8998813
328953957,0.90375406,0.8998813
329454112,0.90902257,0.8998813
329954084,0.8970213,0.8998813
330452748,0.91375846,0.8998813
330953763,0.9120009,0.89918315
331455258,0.9012914,0.9017664
331952850,0.91297805,0.9017664
332454343,0.9081608,0.9017664
332952737,0.9102298,0.9017664
333454433,0.908669,0.9017664
333952895,0.90607375,0.9017664
334452726,0.9139618,0.9017664
334952809,0.9091204,0.9017664
336453731,0.89814675,0.89960206
336953509,0.91810066,0.89960206
337453398,0.8945162,0.89960206
338452937,0.91370213,0.8998813
338953909,0.9086813,0.8998813
339452934,0.9176271,0.8998813
339953159,0.90588605,0.8998813
340455386,0.91067183,0.89918315
340952748,0.90788376,0.9017664
341952953,0.91930723,0.9017664
342453153,0.90896076,0.9017664
343453653,0.91548765,0.9017664
343953252,0.9149378,0.9017664
344453619,0.9119189,0.9017664
345455083,0.91028154,0.89960206
345952927,0.91393495,0.90127766
346453002,0.90974957,0.90127766
346955835,0.9135957,0.9015569
347452963,0.9176282,0.9015569
347956452,0.91017205,0.9015569
348953574,0.9004766,0.9015569
349453302,0.90579706,0.9015569
349952727,0.91671586,0.90085876
350452771,0.9043532,0.903442
350953165,0.9248948,0.903442
351453797,0.95439136,0.903442
