,G1
x,1.00
y,0.00
z,0.50
q1,0.707
q2,0.00
q3,-0.707
q4,0.00
p_1x,0.00
p_1y,-0.15
p_1z,-0.15
p_2x,0.00
p_2y,-0.15
p_2z,0.15
p_3x,0.00
p_3y,0.15
p_3z,0.15
p_4x,0.00
p_4y,0.15
p_4z,-0.15
seq,1
